файл,строка,достижимо,вызов,уровень,откуда текст,текст/выражение (начало),уровень по F-3 соответствует,по F-3 должно быть / замечание,"W-1/А-7 (жаргон, строка движка)"
app/ThermoGar_app.py,1994,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,2078,да,st.error,error,str(exception): error,str(error),да,ошибка,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,2110,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,2121,да,st.warning,warning,переменная: text,text,спорно,предупреждения подготовки фаз,источник текста — verified_properties
app/ThermoGar_app.py,2129,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,2172,да,st.error,error,str(exception): error,str(error),да,ошибка,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,2197,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,2373,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,2706,да,st.error,error,функция: excluded_phase_message(),excluded_phase_message(rejected_candidates),да,ошибка: выбранная фаза исключена,
app/ThermoGar_app.py,2709,да,st.info,info,переменная: unbuildable_note,unbuildable_note,да,,
app/ThermoGar_app.py,2757,да,st.warning,warning,функция: dropped_phases_warning(),dropped_phases_warning(dropped),да,предупреждение: считается без снятых фаз,
app/ThermoGar_app.py,2789,да,st.warning,warning,литерал,"""Если отключить устойчивую фазу, получится метастабильное "" ""равновесие только среди оставленных фаз.""",да,,
app/ThermoGar_app.py,2859,да,st.error,error,функция: excluded_phase_message(),excluded_phase_message(rejected_selected),да,,
app/ThermoGar_app.py,2867,да,st.error,error,литерал,"""Нужно оставить хотя бы одну фазу.""",да,,
app/ThermoGar_app.py,2966,да,st.warning,warning,литерал (f-строка с данными),"f""Файл лицензии не найден: {relative_path}. "" ""Поставка неполна — сообщите разработчику.""",да,,
app/ThermoGar_app.py,2987,да,st.warning,warning,переменная: note,note,да,,
app/ThermoGar_app.py,6824,да,st.error,error,f-строка с текстом исключения: pending_context_error,"""Отложенный контекст отклонён и не был применён: "" f""{pending_context_error}""",да,ошибка,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,6843,да,st.warning,warning,литерал,"""Сохранённый выбор базы не распознан. Выбран канонический "" ""Fe-профиль thermogar_patch.""",нет,"ошибка по F-3: сохранённый выбор не выполнен, подменён другим профилем; сейчас warning",жаргон: «канонический Fe-профиль thermogar_patch» (W-1)
app/ThermoGar_app.py,6867,да,st.error,error,литерал,"""Fe-контекст отклонён: сохранённый профиль базы не совпадает "" ""с каноническим thermogar_patch. Автоматическая подмена профиля "" ""не выполняется.""",да,,"жаргон: «Fe-контекст», «канонический thermogar_patch», «подмена профиля» (W-1)"
app/ThermoGar_app.py,6916,да,st.error,error,f-строка с текстом исключения: error,"f""Проверенная привязка базы отклонена: {error}""",да,,"на экран выходит str(exception) (W-1, А-7); «проверенная привязка» — внутренний термин"
app/ThermoGar_app.py,6948,да,st.error,error,str(exception): error,str(error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,6959,да,st.error,error,str(exception): error,str(error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,6973,да,st.sidebar.success,success,литерал (f-строка с данными),"f""Элементов: {len(available_elements)} · Фаз: {len(db.phases)}""",нет,"информация: нейтральный счётчик элементов и фаз, не результат действия; сейчас success",
app/ThermoGar_app.py,7022,да,st.error,error,литерал (f-строка с данными),"""Загруженный контекст отклонён: элемент-основа "" f""{rejected_balance!r} отсутствует в выбранной базе {database_key!r}. "" ""Весь загруженный набор удалён без частичного применения. "" ""Выберите или загрузите контекст заново",да,,repr-кавычки {!r} и ключ базы ('ni'/'fe'/'al') на экране (W-1)
app/ThermoGar_app.py,7144,да,st.sidebar.info,info,литерал,"""Глобальный контекст изменился: прежние результаты скрыты. "" ""Выполните расчёт заново.""",да,,«глобальный контекст» — внутренний термин (W-1)
app/ThermoGar_app.py,7157,да,st.sidebar.warning,warning,литерал (f-строка с данными),"f""Открыт {loaded_label}, но отпечаток базы изменился. "" ""Пересчитайте результаты на текущей базе.""",да,,«отпечаток базы» — внутренний термин (W-1)
app/ThermoGar_app.py,7162,да,st.sidebar.success,success,литерал (f-строка с данными),"f""Загружено: {loaded_label}""",да,,
app/ThermoGar_app.py,7241,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,7439,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,7566,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,7750,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,7911,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления постоянного состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,8107,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,8309,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления параметров системы: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,8318,да,st.info,info,литерал,"""На диаграмме выбрано больше семи фаз. Расчёт допустим, "" ""но для читаемого графика лучше оставить основные фазы.""",спорно,оговорка к расчёту (>7 фаз) — по F-3 предупреждение; тот же род в :9584 — warning,
app/ThermoGar_app.py,8488,да,st.error,error,f-строка с текстом исключения: error,"""Диаграмму построить не удалось. Проверьте диапазоны "" f""и набор фаз. Техническая причина: {error}""",да,,"на экран выходит str(exception) (W-1, А-7) («Техническая причина: …»)"
app/ThermoGar_app.py,8502,да,st.info,info,литерал,"""Таблица границ для этой карты пуста.""",да,,
app/ThermoGar_app.py,8710,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,8720,да,st.info,info,литерал,"""На сечении выбрано больше семи фаз. Расчёт допустим, "" ""но для читаемого графика лучше оставить основные фазы.""",спорно,то же,
app/ThermoGar_app.py,8962,да,st.error,error,f-строка с текстом исключения: error,"""Сечение построить не удалось. Проверьте состав, "" ""диапазоны и набор фаз. "" f""Техническая причина: {error}""",да,,"на экран выходит str(exception) (W-1, А-7) («Техническая причина: …»)"
app/ThermoGar_app.py,8984,да,st.info,info,литерал,"""Таблица границ для этого сечения пуста.""",да,,
app/ThermoGar_app.py,9125,да,st.info,info,литерал,"""Как читать вершины: в нижней левой вершине 100 % элемента C, "" ""в нижней правой — 100 % элемента A, в верхней — 100 % "" ""элемента B. Внутри треугольника сумма трёх долей равна 100 %.""",да,,
app/ThermoGar_app.py,9152,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления параметров системы: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,9161,да,st.info,info,литерал,"""Выбрано больше десяти фаз. Расчёт допустим, но может "" ""занять заметно больше времени. Для первого теста можно "" ""оставить основные фазы.""",спорно,то же (>10 фаз),
app/ThermoGar_app.py,9326,да,st.error,error,f-строка с текстом исключения: error,"""Тройную диаграмму построить не удалось. "" ""Проверьте три элемента, температуру, шаг и набор фаз. "" f""Техническая причина: {error}""",да,,"на экран выходит str(exception) (W-1, А-7) («Техническая причина: …»)"
app/ThermoGar_app.py,9340,да,st.warning,warning,литерал,"""Границы фазовых областей не найдены. Это может "" ""означать однофазную область во всём треугольнике "" ""либо пропуск замкнутой области. Уменьшите шаг или "" ""проверьте набор разрешённых фаз.""",да,,
app/ThermoGar_app.py,9352,да,st.info,info,литерал,"""Таблица границ для этой диаграммы пуста.""",да,,
app/ThermoGar_app.py,9504,да,st.info,info,литерал (f-строка с данными),"f""Будет рассчитано узлов: {map_point_count}. "" f""Фактический равномерный шаг: {actual_step:.3g} %. "" ""Один узел — это отдельное равновесие: от нескольких секунд на "" ""никелевой базе до полутора десятков секунд на алюмини",да,,
app/ThermoGar_app.py,9541,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления параметров системы: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,9579,да,st.error,error,литерал,"""Для карты нужно оставить хотя бы одну фазу и выбрать её.""",да,,
app/ThermoGar_app.py,9584,да,st.warning,warning,литерал,"""В расчёте оставлено больше 15 фаз. На подробной сетке это "" ""может занять много времени. Для обзорной карты сначала "" ""оставьте матрицу, выбранную фазу, жидкость и основные "" ""конкурирующие фазы.""",да,,
app/ThermoGar_app.py,9811,да,st.error,error,f-строка с текстом исключения: error,"""Карту доли фазы построить не удалось. "" ""Проверьте три элемента, выбранную фазу, температуру, "" ""шаг и набор разрешённых фаз. "" f""Техническая причина: {error}""",да,,"на экран выходит str(exception) (W-1, А-7) («Техническая причина: …»)"
app/ThermoGar_app.py,9860,да,st.info,info,литерал,"""На рассчитанной сетке выбранная фаза не достигла "" ""заданной границы появления. Попробуйте другую "" ""температуру, более мелкий шаг либо проверьте, не "" ""исключена ли конкурирующая физически важная фаза.""",да,,
app/ThermoGar_app.py,9940,да,st.error,error,литерал,"""Для этого раздела не установлен дополнительный пакет `scheil`. "" ""Остальные функции ThermoGar продолжают работать.""",спорно,раздел недоступен до действия пользователя; в «Проверке установки» тот же случай — warning (stage14:1205),«пакет `scheil`» — имя пакета на экране (W-1)
app/ThermoGar_app.py,9952,да,st.success,success,литерал,"""Модуль затвердевания готов: пакет `scheil` установлен.""",нет,"информация: состояние модуля, не итог действия; сейчас success",«пакет `scheil` установлен» (W-1)
app/ThermoGar_app.py,9955,да,st.info,info,литерал,"""Оба метода этого модуля рассчитываются при 101 325 Па. "" ""Scheil–Gulliver предполагает полное перемешивание расплава, "" ""локальное равновесие на границе и отсутствие диффузии в твёрдом.""",да,,
app/ThermoGar_app.py,9961,да,st.warning,warning,литерал,"""Заданное в боковой панели давление здесь не применяется: "" ""модуль затвердевания использует 101 325 Па.""",нет,ошибка по F-3: введённое давление подменено 101 325 Па (ввод не выполнен как выражен); сейчас warning — решение владельца,
app/ThermoGar_app.py,10103,да,st.error,error,f-строка с текстом исключения: preview_error,"f""Исправьте состав: {preview_error}""",да,ошибка,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,10122,да,st.error,error,литерал,"""Для расчёта затвердевания нужно оставить фазу LIQUID.""",да,,
app/ThermoGar_app.py,10481,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,solidification_error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,10524,да,st.warning,warning,константа: SOLIDUS_FALLBACK_WARNING,SOLIDUS_FALLBACK_WARNING,да,,
app/ThermoGar_app.py,10545,да,st.warning,warning,f-строка с текстом исключения: error_text,"f""{SOLIDIFICATION_METHOD_LABELS.get(method_key, method_key)}: "" f""{error_text}""",спорно,метод не рассчитан — для этого метода ошибка; второй метод посчитан,"на экран выходит str(exception) (W-1, А-7) (errors[method] = str(method_error), :10252)"
app/ThermoGar_app.py,10711,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,10850,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,10857,да,st.warning,warning,литерал (склейка),"""Некоторые фазы пропущены:\n\n- "" + ""\n- "".join(energy_state[""skipped""])",да,предупреждение: часть фаз пропущена,"на экран выходит str(exception) (W-1, А-7) (skipped = f'{phase}: {error}', :3837)"
app/ThermoGar_app.py,10884,да,st.info,info,литерал,"""Минимальная энергия среди выбранных однофазных состояний "" ""не равна автоматически полному многофазному равновесию. "" ""Стехиометрическая фаза может быть определена только в узком "" ""диапазоне состава.""",да,,
app/ThermoGar_app.py,10936,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления состава: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11086,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,11103,да,st.info,info,литерал,"""Движущая сила — только термодинамический стимул. Она не "" ""задаёт скорость превращения, время выдержки, число зародышей "" ""или размер частиц.""",да,,
app/ThermoGar_app.py,11209,да,st.warning,warning,f-строка с текстом исключения: preview_error,"""Список фаз появится после исправления постоянных добавок: "" f""{preview_error}""",нет,"ошибка: ввод неверен, намерение не выполнено; тот же случай в ThermoGar_app.py:10103 и diffusion — st.error, здесь — st.warning","на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11348,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,11355,да,st.success,success,литерал (f-строка с данными),"f""T₀ найдено в {valid_count} точках из {total_count}.""",да,,
app/ThermoGar_app.py,11359,да,st.warning,warning,литерал (f-строка с данными),"f""T₀ найдено в {valid_count} точках из {total_count}. "" ""В остальных точках перехода в заданном окне нет: "" ""сдвиньте окно к ожидаемой температуре перехода.""",да,,
app/ThermoGar_app.py,11365,да,st.warning,warning,литерал,"""В заданном окне T₀ не найдено ни в одной точке. "" ""Сдвиньте окно к ожидаемой температуре перехода и "" ""сделайте его уже — на широком окне разность энергий "" ""немонотонна и корень не находится. Пары «матрица / "" ""выделен",спорно,T₀ не найдено ни в одной точке — намерение не выполнено: по F-3 ближе к ошибке,
app/ThermoGar_app.py,11379,да,st.info,info,литерал,"""T₀ показывает равенство энергий двух фаз при одинаковом "" ""составе. Для диффузионных превращений, солвуса и обычной "" ""фазовой границы используйте равновесные диаграммы.""",да,,
app/ThermoGar_app.py,11429,да,st.error,error,f-строка с текстом исключения: error,"f""Проверенная физическая привязка отклонена: {error}""",да,,"на экран выходит str(exception) (W-1, А-7); «проверенная физическая привязка» — внутренний термин"
app/ThermoGar_app.py,11451,да,st.error,error,str(exception): b4b_physical_error,str(b4b_physical_error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11466,да,st.error,error,str(exception): b4b_physical_error,str(b4b_physical_error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11483,да,st.error,error,str(exception): b4b_physical_error,str(b4b_physical_error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11498,да,st.error,error,str(exception): b4b_physical_error,str(b4b_physical_error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11508,да,st.error,error,str(exception): b4b_physical_error,str(b4b_physical_error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/ThermoGar_app.py,11832,да,st.info,info,литерал,"""Отдельный профиль базы ведётся только для открытой "" ""стальной базы mc_fe 2.062.""",да,,
app/thermogar_diffusion.py,1143,да,st.success,success,литерал,"""Численная проверка сохранения среднего состава пройдена. "" ""Невязка считается по u-долям — величине, которую сохраняет "" ""объёмно-фиксированная система отсчёта решателя.""",да,,"«u-доли», «объёмно-фиксированная система отсчёта решателя» (W-1)"
app/thermogar_diffusion.py,1149,да,st.warning,warning,литерал,"""Баланс состава выполнен с повышенной численной погрешностью.""",да,,
app/thermogar_diffusion.py,1151,да,st.error,error,литерал,"""Ошибка сохранения состава слишком велика. Увеличьте число ячеек или уменьшите время шага задачи.""",да,,
app/thermogar_diffusion.py,1381,да,st.error,error,литерал,"""Для этого раздела не установлен пакет kawin. Установите его в "" ""окружение ThermoGar и перезапустите приложение.""",да,,"«пакет kawin», «окружение» (W-1)"
app/thermogar_diffusion.py,1427,да,st.warning,warning,f-строка с текстом исключения: preview_error,"f""Исправьте составы пары: {preview_error}""",нет,ошибка: ввод неверен,"на экран выходит str(exception) (W-1, А-7)"
app/thermogar_diffusion.py,1430,да,st.error,error,литерал,"""Для выбранной системы нет фазы с полным набором "" ""MQ/MF/DQ/DF-параметров.""",да,,«MQ/MF/DQ/DF-параметров» (W-1)
app/thermogar_diffusion.py,1444,да,st.info,info,литерал,"""Границы закрыты: поток через левый и правый торцы равен нулю. "" ""Составы задаются в ат.% или мас.%, внутри решателя используются атомные доли.""",да,,
app/thermogar_diffusion.py,1495,да,render_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/thermogar_diffusion.py,1530,да,st.warning,warning,f-строка с текстом исключения: preview_error,"f""Исправьте составы пары: {preview_error}""",нет,ошибка: ввод неверен,"на экран выходит str(exception) (W-1, А-7)"
app/thermogar_diffusion.py,1537,да,st.warning,warning,литерал (склейка),"""Для элементов "" + "", "".join(preview_couple.elements if preview_couple else []) + "" в этой базе есть параметры подвижности только у фазы "" + phase_options[0] + "". Многофазная гомогенизация требует минимум две такие фазы,",да,,
app/thermogar_diffusion.py,1591,да,st.info,info,литерал,"""Рекомендуемый первый вариант — нижняя граница Хашина—Штрикмана. "" ""Разница между верхней и нижней границами показывает чувствительность "" ""к неизвестной геометрии фаз.""",да,,
app/thermogar_diffusion.py,1651,да,render_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/thermogar_diffusion.py,1676,да,st.warning,warning,литерал,"""Параметры подвижности MQ/MF/DQ/DF не найдены.""",спорно,,«MQ/MF/DQ/DF» (W-1)
app/thermogar_precipitation.py,1309,да,st.error,error,литерал,"""Модуль Kawin precipitation не загрузился.""",да,,«Модуль Kawin precipitation» — английское имя модуля (W-1)
app/thermogar_precipitation.py,1312,да,st.warning,warning,литерал,"""TDB/DDB не содержат всех параметров KWN. Межфазная энергия, молярные "" ""объёмы и центры зарождения должны быть заданы или откалиброваны.""",спорно,"постоянная оговорка до расчёта — информация, не предупреждение о результате","«TDB/DDB», «KWN» (W-1)"
app/thermogar_precipitation.py,1330,да,st.info,info,литерал,"""Учебный пример автоматически использует Ni–9,8Al–8,3Cr, "" ""800 °C, γ=0,023 Дж/м² и Vm=6,566 см³/моль. "" ""Он нужен для проверки программы и не является паспортом материала.""",да,,
app/thermogar_precipitation.py,1366,да,st.error,error,str(exception): error,str(error),да,,"на экран выходит str(exception) (W-1, А-7)"
app/thermogar_precipitation.py,1377,да,st.error,error,литерал,"""Нет матричной фазы с полным набором мобильностей для состава.""",да,,
app/thermogar_precipitation.py,1414,да,st.error,error,литерал,"""Для выбранного состава нет совместимых фаз-выделений.""",да,,
app/thermogar_precipitation.py,1606,да,render_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/thermogar_precipitation.py,1612,да,st.info,info,литерал,"""Результат относится к другой базе. Выполните расчёт заново.""",да,,
app/thermogar_precipitation.py,1615,да,st.warning,warning,переменная: warning,warning,спорно,предупреждения результата,источник — модель выделений (проверить)
app/thermogar_precipitation.py,1618,да,st.warning,warning,поле: result.stop_note,result.stop_note,спорно,stop_note: остановка решателя,текст из _solver_failure_note/_composition_stop_note — может содержать строку решателя
app/thermogar_precipitation.py,1620,да,st.success,success,литерал,"""Внутренние численные проверки пройдены.""",да,,
app/thermogar_precipitation.py,1622,да,st.error,error,литерал,"""Одна или несколько внутренних проверок не пройдены.""",да,,
app/thermogar_properties.py,1484,нет (не вызывается из приложения),st.error,error,литерал,"""Для упругой гомогенизации сначала нужна физическая база плотности, "" ""потому что правила смесей используют объёмные доли фаз.""",да,,
app/thermogar_properties.py,1566,нет (не вызывается из приложения),render_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/thermogar_properties.py,1570,нет (не вызывается из приложения),st.info,info,литерал,"""Нажмите «Подготовить равновесные фазы». Затем заполните E, ν и "" ""источник для каждой фазы.""",да,,
app/thermogar_properties.py,1577,нет (не вызывается из приложения),st.warning,warning,литерал,"""После подготовки фаз изменились состав, база, температура или "" ""другие исходные данные. Нажмите «Подготовить равновесные фазы» "" ""ещё раз; старый результат не используется.""",да,,
app/thermogar_properties.py,1695,нет (не вызывается из приложения),render_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/thermogar_properties.py,1721,нет (не вызывается из приложения),st.success,success,литерал,"""Расчёт Voigt–Reuss–Hill выполнен.""",да,,"«Voigt–Reuss–Hill» — имя метода, допустимо как термин"
app/thermogar_properties.py,1723,нет (не вызывается из приложения),st.warning,warning,переменная: warning,warning,да,,
