ключ,значение,известен этой версии,куда применяется
theme.light.redColor,#C93425,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.redBackgroundColor,#FDF0EE,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.redTextColor,#A62A1E,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.yellowColor,#5A4500,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.yellowBackgroundColor,#FFF6D6,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.yellowTextColor,#2A2722,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.greenColor,#146C33,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.greenBackgroundColor,#EFFAF4,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.greenTextColor,#146C33,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.blueColor,#1F60C1,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.blueBackgroundColor,#EFF6FA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.blueTextColor,#133B8B,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.grayColor,#8A857A,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.grayBackgroundColor,#F1EFEA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.grayTextColor,#57534A,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.showWidgetBorder,False,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.dark.primaryColor,#5C97E8,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.backgroundColor,#1A1816,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.secondaryBackgroundColor,#24211D,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.textColor,#F1EFEA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.linkColor,#9CC0F2,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.borderColor,#3A362F,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.dataframeBorderColor,#3A362F,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.codeBackgroundColor,#2C2822,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.redColor,#F06157,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.redBackgroundColor,#2E1512,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.redTextColor,#F5A79F,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.yellowColor,#E8B200,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.yellowBackgroundColor,#2E2609,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.yellowTextColor,#F1EFEA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.greenColor,#3FBE77,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.greenBackgroundColor,#15281E,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.greenTextColor,#8FE0B4,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.blueColor,#5C97E8,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.blueBackgroundColor,#16233B,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.blueTextColor,#9CC0F2,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.grayColor,#8A857A,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.grayBackgroundColor,#2C2822,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.grayTextColor,#C7C1B6,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
theme.dark.showWidgetBorder,False,"известен (streamlit 1.62.0, config._config_options_template)","[theme.dark] — custom_theme.dark (app_session.py:859), применяется в тёмном режиме"
client.toolbarMode,minimal,"известен (streamlit 1.62.0, config._config_options_template)",[client] — параметры клиента
client.disableDataExport,True,"известен (streamlit 1.62.0, config._config_options_template)",[client] — параметры клиента
