тема,пара,передний (сейчас),фон (сейчас),контраст сейчас,проходит сейчас,передний (цель),фон (цель),контраст цель,проходит цель,порог,правило,примечание
светлая,оси и подписи графика (axis) / фон области,#57534A,#FFFFFF,7.66,да,#4B4F56,#FFFFFF,8.23,да,>= 4.5:1,G-1,
светлая,заголовок графика (text) / фон области,#2A2722,#FFFFFF,14.88,да,#232529,#FFFFFF,15.35,да,>= 4.5:1,G-1,
светлая,сетка графика (grid) / фон области,#D8D4CC,#FFFFFF,1.48,да,#CFD1D5,#FFFFFF,1.53,да,< 3:1 (G-1),G-1,
светлая,"рамка осей = grid (диффузия, выделения, свойства) / фон области",#D8D4CC,#FFFFFF,1.48,НЕТ,#4B4F56,#FFFFFF,8.23,да,>= 3:1,G-1,линия оси — не сетка
светлая,линия порога danger / фон области,#A62A1E,#FFFFFF,7.07,да,#A62A1E,#FFFFFF,7.07,да,>= 3:1,G-3,
светлая,информация: текст / подложка,#133B8B,#EFF6FA,9.49,да,#133B8B,#EFF6FA,9.49,да,>= 4.5:1,C-2b,
светлая,информация: знак / подложка,#1F60C1,#EFF6FA,5.49,да,#1F60C1,#EFF6FA,5.49,да,>= 3:1,C-2b,
светлая,успех: текст / подложка,#146C33,#EFFAF4,6.10,да,#146C33,#EFFAF4,6.10,да,>= 4.5:1,C-2b,
светлая,успех: знак / подложка,#146C33,#EFFAF4,6.10,да,#146C33,#EFFAF4,6.10,да,>= 3:1,C-2b,
светлая,предупреждение: текст / подложка,#2A2722,#FFF6D6,13.75,да,#232529,#FFF6D6,14.18,да,>= 4.5:1,C-2b,
светлая,предупреждение: знак / подложка,#5A4500,#FFF6D6,8.49,да,#5A4500,#FFF6D6,8.49,да,>= 3:1,C-2b,
светлая,ошибка: текст / подложка,#A62A1E,#FDF0EE,6.35,да,#A62A1E,#FDF0EE,6.35,да,>= 4.5:1,C-2b,
светлая,ошибка: знак / подложка,#C93425,#FDF0EE,4.72,да,#C93425,#FDF0EE,4.72,да,>= 3:1,C-2b,
светлая,нейтраль: текст / подложка,#57534A,#F1EFEA,6.67,да,#4B4F56,#ECEDEF,7.02,да,>= 4.5:1,C-2b,
светлая,нейтраль: знак / подложка,#8A857A,#F1EFEA,3.20,да,#79808B,#ECEDEF,3.40,да,>= 3:1,C-2b,
светлая,ряд 1 (LIGHT_SERIES[0]) / фон области,#0D2768,#FFFFFF,13.93,да,#0D2768,#FFFFFF,13.93,да,>= 3:1,G-2/C-2c,
светлая,ряд 2 (LIGHT_SERIES[1]) / фон области,#4587DE,#FFFFFF,3.64,да,#4587DE,#FFFFFF,3.64,да,>= 3:1,G-2/C-2c,
светлая,ряд 3 (LIGHT_SERIES[2]) / фон области,#000000,#FFFFFF,21.00,да,#000000,#FFFFFF,21.00,да,>= 3:1,G-2/C-2c,
светлая,ряд 4 (LIGHT_SERIES[3]) / фон области,#D55E00,#FFFFFF,3.87,да,#D55E00,#FFFFFF,3.87,да,>= 3:1,G-2/C-2c,
светлая,ряд 5 (LIGHT_SERIES[4]) / фон области,#009E73,#FFFFFF,3.42,да,#009E73,#FFFFFF,3.42,да,>= 3:1,G-2/C-2c,
светлая,ряд 6 (LIGHT_SERIES[5]) / фон области,#CC79A7,#FFFFFF,3.06,да,#CC79A7,#FFFFFF,3.06,да,>= 3:1,G-2/C-2c,
светлая,ряд 7 (LIGHT_SERIES[6]) / фон области,#0072B2,#FFFFFF,5.19,да,#0072B2,#FFFFFF,5.19,да,>= 3:1,G-2/C-2c,
тёмная,основной текст / фон окна,#F1EFEA,#1A1816,15.41,да,#ECEDEF,#17181B,15.15,да,>= 4.5:1,C-2c,
тёмная,основной текст / карточка (secondaryBackground),#F1EFEA,#24211D,13.95,да,#ECEDEF,#1F2226,13.63,да,>= 4.5:1,C-2c,
тёмная,вторичный текст (grayTextColor) / фон окна,#C7C1B6,#1A1816,9.89,да,#BCC2CD,#17181B,9.92,да,>= 4.5:1,C-2c,
тёмная,вторичный текст / карточка,#C7C1B6,#24211D,8.95,да,#BCC2CD,#1F2226,8.92,да,>= 4.5:1,C-2c,
тёмная,"приглушённый (grayColor, palette muted) / фон окна",#8A857A,#1A1816,4.82,да,#8A92A0,#17181B,5.66,да,>= 4.5:1,C-2c,как текст
тёмная,приглушённый / карточка,#8A857A,#24211D,4.36,НЕТ,#8A92A0,#1F2226,5.09,да,>= 4.5:1,C-2c,
тёмная,ссылка / фон окна,#9CC0F2,#1A1816,9.47,да,#9CC0F2,#17181B,9.50,да,>= 4.5:1,C-2c,
тёмная,акцент / фон окна,#5C97E8,#1A1816,5.94,да,#5C97E8,#17181B,5.96,да,>= 3:1,C-2c,
тёмная,borderColor / фон окна,#3A362F,#1A1816,1.47,да,#33373E,#17181B,1.49,да,>= 1.0:1,А-8,рамка поверхности
тёмная,оси графика (axis) / фон области,#C7C1B6,#1A1816,9.89,да,#BCC2CD,#1F2226,8.92,да,>= 4.5:1,G-1,
тёмная,сетка графика / фон области,#3A362F,#1A1816,1.47,да,#33373E,#1F2226,1.34,да,< 3:1 (G-1),G-1,
тёмная,"рамка осей = grid (диффузия, выделения, свойства) / фон области",#3A362F,#1A1816,1.47,НЕТ,#BCC2CD,#1F2226,8.92,да,>= 3:1,G-1,
тёмная,оси (axis тёмн.) / фон фигуры свойств (белый по умолчанию matplotlib),#C7C1B6,#FFFFFF,1.79,НЕТ,#BCC2CD,#1F2226,8.92,да,>= 4.5:1,G-1,thermogar_properties: фон фигуры не задан
тёмная,заголовок (text тёмн.) / фон фигуры свойств (белый),#F1EFEA,#FFFFFF,1.15,НЕТ,#ECEDEF,#1F2226,13.63,да,>= 4.5:1,G-1,thermogar_properties: фон фигуры не задан
тёмная,линия порога danger / фон области,#F06157,#1A1816,5.52,да,#F06157,#1F2226,4.98,да,>= 3:1,G-3,
тёмная,информация: текст / подложка,#9CC0F2,#16233B,8.40,да,#9CC0F2,#16233B,8.40,да,>= 4.5:1,C-2b/C-2d,
тёмная,информация: знак / подложка,#5C97E8,#16233B,5.27,да,#5C97E8,#16233B,5.27,да,>= 3:1,C-2b/C-2d,
тёмная,успех: текст / подложка,#8FE0B4,#15281E,9.96,да,#8FE0B4,#15281E,9.96,да,>= 4.5:1,C-2b/C-2d,
тёмная,успех: знак / подложка,#3FBE77,#15281E,6.53,да,#3FBE77,#15281E,6.53,да,>= 3:1,C-2b/C-2d,
тёмная,предупреждение: текст / подложка,#F1EFEA,#2E2609,13.08,да,#ECEDEF,#2E2609,12.83,да,>= 4.5:1,C-2b/C-2d,
тёмная,предупреждение: знак / подложка,#E8B200,#2E2609,7.73,да,#E8B200,#2E2609,7.73,да,>= 3:1,C-2b/C-2d,
тёмная,ошибка: текст / подложка,#F5A79F,#2E1512,8.85,да,#F5A79F,#2E1512,8.85,да,>= 4.5:1,C-2b/C-2d,
тёмная,ошибка: знак / подложка,#F06157,#2E1512,5.32,да,#F06157,#2E1512,5.32,да,>= 3:1,C-2b/C-2d,
тёмная,нейтраль: текст / подложка,#C7C1B6,#2C2822,8.18,да,#BCC2CD,#25292F,8.17,да,>= 4.5:1,C-2b/C-2d,
тёмная,нейтраль: знак / подложка,#8A857A,#2C2822,3.99,да,#8A92A0,#25292F,4.66,да,>= 3:1,C-2b/C-2d,
тёмная,ряд 1 (DARK_SERIES[0]) / фон области,#4587DE,#1A1816,4.87,да,#4587DE,#1F2226,4.39,да,>= 3:1,G-2/C-2d,
тёмная,ряд 2 (DARK_SERIES[1]) / фон области,#B4D1EE,#1A1816,11.21,да,#B4D1EE,#1F2226,10.11,да,>= 3:1,G-2/C-2d,
тёмная,ряд 3 (DARK_SERIES[2]) / фон области,#F1EFEA,#1A1816,15.41,да,#F1EFEA,#1F2226,13.90,да,>= 3:1,G-2/C-2d,целевое для ряда 3+ в тёмной теме нормой не задано — взято текущее
тёмная,ряд 4 (DARK_SERIES[3]) / фон области,#F5A79F,#1A1816,9.20,да,#F5A79F,#1F2226,8.30,да,>= 3:1,G-2/C-2d,целевое для ряда 3+ в тёмной теме нормой не задано — взято текущее
тёмная,ряд 5 (DARK_SERIES[4]) / фон области,#8FE0B4,#1A1816,11.37,да,#8FE0B4,#1F2226,10.26,да,>= 3:1,G-2/C-2d,целевое для ряда 3+ в тёмной теме нормой не задано — взято текущее
тёмная,ряд 6 (DARK_SERIES[5]) / фон области,#E8B200,#1A1816,9.10,да,#E8B200,#1F2226,8.21,да,>= 3:1,G-2/C-2d,целевое для ряда 3+ в тёмной теме нормой не задано — взято текущее
тёмная,ряд 7 (DARK_SERIES[6]) / фон области,#9CC0F2,#1A1816,9.47,да,#9CC0F2,#1F2226,8.54,да,>= 3:1,G-2/C-2d,целевое для ряда 3+ в тёмной теме нормой не задано — взято текущее
