faza,opisanie_en,klyuchi_ispolnitel,klyuchi_jev,sovpalo,tekst_ispolnitel,pusto_ispolnitel
MO2M1B2,"tetragonal, space group P4/mbm",S_TET C_BOR,S_TET C_OX,нет,Тетрагональная структура. Боридная фаза.,нет
MU_PHASE,"Hard, brittle intermetallic compound. W6Fe7-type. Important hardening phase in Fe-Co-Mo alloys. Simplified description, model IV from ref 77 used. Use for multi-component systems.",C_INT R_UPR R_TVXR,C_INT R_UPR R_TVXR,да,Интерметаллидная фаза. Упрочняющая фаза. Твёрдая и хрупкая фаза.,нет
MU_PHASE_I,"Hard, brittle intermetallic compound. W6Fe7-type. Important hardening phase in Fe-Co-Mo alloys. Advanced description, based on model V from ref 77. Use for Fe-Co-Mo-Si tool steel applications.",C_INT R_UPR R_TVXR,C_INT R_UPR R_TVXR,да,Интерметаллидная фаза. Упрочняющая фаза. Твёрдая и хрупкая фаза.,нет
O_MN2B,Orthorhombic.,S_ORT C_BOR,S_ORT C_OX,нет,Ромбическая структура. Боридная фаза.,нет
PD2MN,orthorhombic,S_ORT C_INT,S_ORT,нет,Ромбическая структура. Интерметаллидная фаза.,нет
PD5MN3,orthorhombic,S_ORT C_INT,S_ORT,нет,Ромбическая структура. Интерметаллидная фаза.,нет
PD6FE5MN2,observed in high-Pd Fe-Pd with Mn.,C_INT,C_INT,да,Интерметаллидная фаза.,нет
R_PHASE,"Topologically close-packed structure, closely related to Sigma and Mu-Phase.",R_TPU,R_TPU,да,Топологически плотноупакованная (ТПУ) фаза.,нет
SPINEL,Fe-Cr-Spinel,,,да,,да
TI3B4,"Orthorhombic, space group Immm.",S_ORT C_BOR,S_ORT,нет,Ромбическая структура. Боридная фаза.,нет
TIB,"Orthorhombic, space group Pnma.",S_ORT C_BOR,S_ORT,нет,Ромбическая структура. Боридная фаза.,нет
TIB2,"Hexagonal, space group P6/mmm.",S_HEX C_BOR,S_HEX C_BOR,да,Гексагональная структура. Боридная фаза.,нет
WC,simple hexagonal,S_HEX C_CAR,S_HEX,нет,Гексагональная структура. Карбидная фаза.,нет
Y2TI2O7,"pyrochlore structure, strengthening dispersoid",C_OX R_DISPU,C_OX R_DISPU,да,Оксидная фаза. Упрочняющий дисперсоид.,нет
Y2TIO5,"orthorhombic, strengthening dispersoid",S_ORT C_OX R_DISPU,S_ORT C_OX R_DISPU,да,Ромбическая структура. Оксидная фаза. Упрочняющий дисперсоид.,нет
Y4AL2O9,monoclinic strengthening dispersoid,S_MON C_OX R_DISPU,S_MON C_OX R_DISPU,да,Моноклинная структура. Оксидная фаза. Упрочняющий дисперсоид.,нет
YALO3,"strengthening dispersoid, perovskite structure",C_OX R_DISPU,R_DISPU,нет,Оксидная фаза. Упрочняющий дисперсоид.,нет
