faza,opisanie_en,klyuchi,osnovanie
SI2TI,oF24 Fddd TiSi2,S_ORT C_SIL,"S_ORT: символ Пирсона «oF24» (п. 2); C_SIL: формула «TiSi2» в тексте, Si и один металл (п. 4)"
SI3TI5,hP16 P63_mcm Mn5Si3,S_HEX C_SIL,"S_HEX: символ Пирсона «hP16» (п. 2); C_SIL: имя SI3TI5 = Ti5Si3, Si и один металл (п. 4)"
SI4TI5,tP36 P41212 Si4Zr5,S_TET C_SIL,"S_TET: символ Пирсона «tP36» (п. 2); C_SIL: имя SI4TI5 = Ti5Si4, Si и один металл (п. 4)"
SITI,oP8 Pnma FeB,S_ORT C_SIL,"S_ORT: символ Пирсона «oP8» (п. 2); C_SIL: имя SITI = TiSi, Si и один металл (п. 4); «FeB» в тексте — прототип структурного типа после символа Пирсона и пространственной группы, не формула фазы"
SITI3,tP30 P42_n PTi3,S_TET C_SIL,"S_TET: символ Пирсона «tP30» (п. 2); C_SIL: имя SITI3 = Ti3Si, Si и один металл (п. 4); «PTi3» в тексте — прототип структурного типа"
TI17AL5SI14,orthorhombic.,S_ORT C_INT,"S_ORT: «orthorhombic» (п. 2); C_INT: имя TI17AL5SI14, Si с несколькими металлами (п. 4)"
TIALSI_TAU,orthorhombic.,S_ORT C_INT,"S_ORT: «orthorhombic» (п. 2); C_INT: имя TIALSI_TAU без суффикса _TAU = TiAlSi, Si с несколькими металлами (п. 4)"
BETA_MN,Simple cubic Manganese modification between around 1000 K and 1370 K.,S_CUB,S_CUB: «Simple cubic» (п. 2); прочее: интервал «between around 1000 K and 1370 K» ключа не даёт (п. 10); модификация одного элемента Mn — класса нет (п. 4)
CR3MN5,"Also named ""alpha Phase""",C_INT,"C_INT: имя CR3MN5 = Cr3Mn5, только металлы (п. 4)"
CRB,"Orthorhombic, space group Cmcm.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя CRB = CrB, есть B (п. 4)"
FEB,"Orthorhombic, space group Pnma.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя FEB = FeB, есть B (п. 4)"
M5B6,"Orthorhombic, space group Cmmm.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя M5B6, есть B (п. 4)"
MN3B4,"Orthorhombic, space group Immm.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя MN3B4 = Mn3B4, есть B (п. 4)"
MNB2,"Hexagonal, space group P6/mmm.",S_HEX C_BOR,"S_HEX: «Hexagonal» (п. 2); C_BOR: имя MNB2 = MnB2, есть B (п. 4)"
MNNI,cubic,S_CUB C_INT,"S_CUB: «cubic» (п. 2); C_INT: имя MNNI = MnNi, только металлы (п. 4)"
MO2M1B2,"tetragonal, space group P4/mbm",S_TET C_BOR,"S_TET: «tetragonal» (п. 2); C_BOR: имя MO2M1B2 = Mo2MB2, есть B (п. 4)"
MU_PHASE,"Hard, brittle intermetallic compound. W6Fe7-type. Important hardening phase in Fe-Co-Mo alloys. Simplified description, model IV from ref 77 used. Use for multi-component systems.",C_INT R_UPR R_TVXR,"C_INT: «intermetallic compound» (п. 4); R_UPR: «Important hardening phase» (п. 6); R_TVXR: «Hard, brittle» (п. 8); прочее: «W6Fe7-type» — структурный тип (п. 2)"
MU_PHASE_I,"Hard, brittle intermetallic compound. W6Fe7-type. Important hardening phase in Fe-Co-Mo alloys. Advanced description, based on model V from ref 77. Use for Fe-Co-Mo-Si tool steel applications.",C_INT R_UPR R_TVXR,"C_INT: «intermetallic compound» (п. 4); R_UPR: «Important hardening phase» (п. 6); R_TVXR: «Hard, brittle» (п. 8); прочее: «W6Fe7-type» — структурный тип (п. 2)"
O_MN2B,Orthorhombic.,S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя O_MN2B без приставки O_ = Mn2B, есть B (п. 4)"
PD2MN,orthorhombic,S_ORT C_INT,"S_ORT: «orthorhombic» (п. 2); C_INT: имя PD2MN = Pd2Mn, только металлы (п. 4)"
PD5MN3,orthorhombic,S_ORT C_INT,"S_ORT: «orthorhombic» (п. 2); C_INT: имя PD5MN3 = Pd5Mn3, только металлы (п. 4)"
PD6FE5MN2,observed in high-Pd Fe-Pd with Mn.,C_INT,"C_INT: имя PD6FE5MN2 = Pd6Fe5Mn2, только металлы (п. 4); прочее: «high-Pd» — не температура (п. 10)"
R_PHASE,"Topologically close-packed structure, closely related to Sigma and Mu-Phase.",R_TPU,"R_TPU: «Topologically close-packed structure» — сама фаза названа ТПУ (п. 7); прочее: R_PHASE — имя без формулы, класса нет (п. 4)"
SPINEL,Fe-Cr-Spinel,,"прочее: пусто: SPINEL — минерал без формулы; «Fe-Cr» — обозначение системы, не формула фазы (п. 4, п. 12)"
TI3B4,"Orthorhombic, space group Immm.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя TI3B4 = Ti3B4, есть B (п. 4)"
TIB,"Orthorhombic, space group Pnma.",S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя TIB = TiB, есть B (п. 4)"
TIB2,"Hexagonal, space group P6/mmm.",S_HEX C_BOR,"S_HEX: «Hexagonal» (п. 2); C_BOR: имя TIB2 = TiB2, есть B (п. 4)"
WC,simple hexagonal,S_HEX C_CAR,"S_HEX: «simple hexagonal» (п. 2); C_CAR: имя WC, есть C (п. 4)"
Y2TI2O7,"pyrochlore structure, strengthening dispersoid",C_OX R_DISPU,"C_OX: имя Y2TI2O7 = Y2Ti2O7, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5); прочее: «pyrochlore structure» — структурный тип (п. 2)"
Y2TIO5,"orthorhombic, strengthening dispersoid",S_ORT C_OX R_DISPU,"S_ORT: «orthorhombic» (п. 2); C_OX: имя Y2TIO5 = Y2TiO5, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5)"
Y4AL2O9,monoclinic strengthening dispersoid,S_MON C_OX R_DISPU,"S_MON: «monoclinic» (п. 2); C_OX: имя Y4AL2O9 = Y4Al2O9, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5)"
YALO3,"strengthening dispersoid, perovskite structure",C_OX R_DISPU,"C_OX: имя YALO3 = YAlO3, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5); прочее: «perovskite structure» — структурный тип (п. 2)"
