№;раздел экрана;что было в 0.4.4;что стало;меняет ли числа результата;задание и BL;источник
15;весь экран → тёмная тема;окно #1A1816, панель #24211D, текст #F1EFEA, рамки #3A362F;"окно #17181B, панель и поля #1F2226, текст #ECEDEF, рамки #33373E, серый текст #BCC2CD; primary #5C97E8 прежний";нет;21-Е, решение владельца 24.09.2026 (6А);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:25, 120–133"
16;весь экран → серые подписи (st.caption);"светлая тема 4.08:1 к окну и 3.89:1 к панели; тёмная 6.23:1";сплошной цвет #4B4F56 / #BCC2CD: 7.75:1, 7.02:1 и 9.92:1;нет;21-Е (находка 39 аудита);"0dee4bb; REGISTER.md:1010, 1034; WAVE21_E_REPORT.md:39, 145–147"
17;весь экран → поля ввода;рамки не видно: рамка равна заливке, 1.10–1.15:1;рамка 1 px #79808B / #8A92A0: 3.40–3.75:1 (светлая), 5.09–5.66:1 (тёмная);нет;21-Е, решение владельца 24.09.2026 (1Г);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:40, 148–150"
18;весь экран → основная (синяя) кнопка, тёмная тема;белый текст на #5C97E8: 2.98:1;"текст #17181B на #5C97E8: 5.96:1; светлая тема без изменений";нет;21-Е, решение владельца 24.09.2026 (2Б);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:41, 152–153"
19;весь экран → подсказка под полями;«Press Enter to apply» под полями;"подсказки нет; остальные подписи Streamlit прежние";нет;21-Е, решение владельца 24.09.2026 (4Б);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:42"
20;весь экран → раскрывающиеся блоки и формы;фон прозрачный, как у окна;белая поверхность #FFFFFF / #1F2226 на окне #F8F8F9 / #17181B;нет;21-Е, решение владельца 24.09.2026 (А-8);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:43, 151"
21;весь экран → пункты списков в тексте;ширина 60ch только у абзацев, подписей, сообщений;пункты списков тоже не шире 60ch;нет;21-Е;"0dee4bb; WAVE21_E_REPORT.md:38"
22;все графики (экран и PNG) → цвета осей, текста, фона;"тёплые цвета: тёмная — фон #1A1816, подписи #C7C1B6; светлая — оси #57534A";"холодная шкала: тёмная — фон #1F2226, оси #BCC2CD, текст #ECEDEF; светлая — оси #4B4F56, текст #232529";нет;21-Е, решение владельца 24.09.2026;"0dee4bb; WAVE21_E_REPORT.md:27–29"
23;9 графиков (Расчёты, Затвердевание, Энергии, Диаграммы → Бинарная T–X и Многокомпонентное T–X, PNG плотности по T);сетки не было;сетка цвета роли grid, прозрачность 0.25;нет;21-Е, решение владельца 24.09.2026 (сетка);"0dee4bb; REGISTER.md:1032, 1034; WAVE21_E_REPORT.md:52"
24;Диаграммы → Карта доли фазы;сетка поверх шкалы, легенда порога в углу, заголовок налезал на подпись вершины;"сетки нет, легенда под графиком, заголовок поднят; Ni, Al, Cr в подписях";нет;21-Е (находка 16);"0dee4bb; REGISTER.md:1034; WAVE21_E_REPORT.md:52, 59, 61"
25;Диаграммы → Тройная при T = const;"подпись вершины налезала на заголовок; подписи концов линий только в тёмной теме; «NI», «AL», «CR» в вершинах";"заголовок над подписью вершины; подписи концов в обеих темах; вершины и оси — Ni, Al, Cr";нет;21-Е, решение владельца 24.09.2026 (5Б, символы);"0dee4bb; WAVE21_E_REPORT.md:57, 59, 61"
26;заголовки графиков (12 мест, экран и PNG);«ThermoGar: фазовые доли от температуры», «ThermoGar: энергия Гиббса отдельных фаз» и т. п.;без приставки: «Фазовые доли от температуры», «Доля расплава при охлаждении», «T₀ для … и …»;нет;21-Е, решение владельца 24.09.2026;"0dee4bb; REGISTER.md:1032, 1034; WAVE21_E_REPORT.md:54"
27;линии фаз на всех графиках с фазами;7 цветов и 4 вида линий по кругу: у 5–7-й фазы линия повторяла 1–3-ю;"7 видов линий; у каждой фазы своя пара «цвет + линия» (49 пар)";нет (цвет и вид линии конкретной фазы могут смениться);21-Е, решение владельца 24.09.2026 (5Б);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:27, 163–165"
28;подписи у концов линий (фазовые доли, энергии, бинарная, многокомпонентная, тройная, диффузия);только в тёмной теме, могли налезать;"в обеих темах, перекрывающиеся разводятся; при > 7 фазах на бинарной и многокомпонентной не ставятся";нет;21-Е, решение владельца 24.09.2026 (5Б);"0dee4bb; WAVE21_E_REPORT.md:57"
29;легенды 13 графиков (экран и PNG);"справа от поля или внутри поля; у диффузии и выделений без плашки";"под осями по центру, в 1–4 столбца, поле графика не сжимается; плашка по ролям темы у всех";нет;21-Е, решение владельца 24.09.2026 (5Б);"0dee4bb; WAVE21_E_REPORT.md:58, 72"
30;символы элементов в текстах графиков;«NI», «AL», «CR» в заголовках, осях, вершинах, легенде;"Ni, Al, Cr (например «Содержание Ni, ат.%»); имена фаз прежние";нет;21-Е, решение владельца 24.09.2026 (символы);"0dee4bb; REGISTER.md:1032; WAVE21_E_REPORT.md:61"
31;Кинетика → Диффузия и гомогенизация, Кинетика → Выделения (графики);"кегль matplotlib по умолчанию; начальный профиль штрихом; одиночный ряд — тёмно-синий #0D2768";"деления 11 pt, подписи 13 pt; начальный профиль — мелкий пунктир; одиночный ряд — primary #1F60C1 / #5C97E8; правая ось «Размер и плотность» цвета роли axis";нет;21-Е (находки 8, 10, 12, 14, 17 аудита 21-А);"0dee4bb; WAVE21_E_REPORT.md:64–69"
32;Энергии → Движущая сила, Энергии → T₀;линия #0D2768 / #4587DE;линия primary #1F60C1 / #5C97E8;нет;21-Е (находка 10);"0dee4bb; WAVE21_E_REPORT.md:50, 65"
33;весь экран → смена темы в меню ⋮;графики и PNG оставались в теме момента расчёта до нового расчёта;через 0.25–0.64 с график перерисовывается в новой теме из сохранённых данных, без повторного расчёта;нет: повторного расчёта нет, записей в истории не прибавилось (WAVE21_E_REPORT.md:108);21-Е, решение владельца 24.09.2026 (7Б);"0dee4bb; REGISTER.md:1032, 1034; WAVE21_E_REPORT.md:74–110"
34;выгрузки PNG (все графики, PNG в ZIP «Затвердевания», PNG «Выделений» и «Диффузии»);старая палитра, легенда справа, заголовок с «ThermoGar: »;"новая палитра, сетка, легенда под осями, без приставки; Excel, CSV, NPZ, JSON в 21-Е не менялись";нет;21-Е, решения 5Б и 7Б;"0dee4bb; REGISTER.md:1034; WAVE21_E_REPORT.md:58, 78"
35;внутреннее;—;"тест test_chart_theme_21e (73), правка test_chart_legend_theme; снято недействующее правило ширины; скрытый наблюдатель темы; 72 кадра";нет;21-Е;"0dee4bb; WAVE21_E_REPORT.md:37, 44, 169–255"
36;весь экран → сообщения об ошибках;текст исключений сторонних библиотек прямо в сообщении: «Проверенная привязка базы отклонена: {error}», «Диаграмму построить не удалось… Техническая причина: {error}»;"фраза «что случилось и что делать» или своё сообщение ThermoGar + «Код ошибки: …» + свёрнутый блок «Технические сведения»; например «Базу прочитать не удалось.» (app/ThermoGar_app.py:7233), «Диаграмму построить не удалось. Проверьте диапазоны и набор фаз.» (:8869)";"нет; текст чужих исключений — в «Технических сведениях» и в техническом отчёте (errors.jsonl)";"21-Ж; решение владельца 24.09.2026";"8fbd0c0 (b7c34e8); REGISTER.md:1011, 1022, 1036; WAVE21_ZH_REPORT.md:19–82"
37;весь экран → уровни сообщений;"«Список фаз появится после исправления состава: …» — предупреждение; «Плотность сплава не рассчитана…» — информация; «Модуль затвердевания готов…» — успех";23 смены уровня: предупреждение → ошибка 17 (в том числе «Список фаз появится…», «Исправьте составы пары.», подменённое давление «Затвердевания»), информация → ошибка 1, успех → информация 2, предупреждение → информация 3 (в том числе время расчёта при > 15 фазах);нет;"21-Ж, часть 3 списка 21-Г; решения мастера F-3";"8fbd0c0 (b7c34e8); REGISTER.md:1032, 1036; WAVE21_ZH_REPORT.md:107"
38;весь экран (кроме графиков) → символы элементов;NI, AL, CR в списках выбора, заголовках таблиц «NI, ат.%», сообщениях «Элемент CR указан…», подсказке «Пример: AL=15, CR=10.», подписях «CR: от, %»;"Ni, Al, Cr при показе: в 14 списках, около 30 таблиц, сообщениях; подсказка «Пример: Al=15, Cr=10.» (app/ThermoGar_app.py:7347); ввод — в любом регистре";"нет; заголовки выгрузок в этом слиянии прежние («NI, ат.%») — их выровняла 21-О (12Б)";"21-Ж; решение владельца 24.09.2026";"8fbd0c0 (b7c34e8); REGISTER.md:1011, 1032; WAVE21_ZH_REPORT.md:109–115"
39;боковая панель, Расчёты → Изменение состава, Диаграммы → Многокомпонентное T–X, Энергии → T₀, Кинетика → Диффузия и гомогенизация, Проекты и данные → Как пользоваться → примеры составов;"«Например: CR=15, CO=10»; составы по умолчанию «AL=15», «CU=4»; пары диффузии «CR=7.7, AL=5.4»; учебные примеры «C=0.2, CR=11.5, NI=0.7»";"«Например: Cr=15, Co=10» (app/ThermoGar_app.py:8176, :8964, :11817); умолчания и примеры с Ni, Al, Cr, Cu (app/ThermoGar_app.py:343; app/thermogar_diffusion.py:98; app/thermogar_stage14.py:1231)";"нет: разбор через верхний регистр; строка «Al=15» так и попадёт в историю, проект и строки состава выгрузок новых расчётов";21-Ж, 21-Ж2;"8fbd0c0 (b7c34e8, a1bc57c); REGISTER.md:1036, 1038; WAVE21_ZH2_REPORT.md:37–45"
40;Проекты и данные → Марки и составы, Проекты и история, Пакетный расчёт (таблицы на экране);составы «CR=18, NI=8», «Основа» — NI;показ «Cr=18, Ni=8», «Основа» — Ni;"нет; данные, файлы и выгрузки прежние";21-Ж2;"8fbd0c0 (a1bc57c); REGISTER.md:1038; WAVE21_ZH2_REPORT.md:43, 112–113"
41;Диаграммы, Затвердевание, Кинетика → Диффузия и гомогенизация, Свойства → Упругие свойства и Вклады упрочнения → подписи полей;подписи без границ: «Шаг поиска границ, ат.%», «Ячеек», «Коэффициент Пуассона ν»;«(мин–макс)» в подписи 15 полей с обеими границами: «Шаг поиска границ, ат.% (0.5–10)» (app/ThermoGar_app.py:9502), «Ячеек (12–160)» (app/thermogar_diffusion.py:1464);нет;"21-Ж; решение владельца 8Б";"8fbd0c0 (b7c34e8); REGISTER.md:1011, 1032; WAVE21_ZH_REPORT.md:117–140"
42;Расчёты → Изменение состава, Диаграммы → Бинарная T–X, Энергии → T₀ → подписи полей состава;«CR: от, %», «CR: до, %», «Шаг по составу, атомные %»;единицы в подписи: «Cr: от, мас.%» / «ат.%» (app/ThermoGar_app.py:8184–8200), «Шаг по составу, ат.%»;"нет; у полей «от / до / шаг» «Изменения состава» нет ключа — при смене единиц в боковой панели они сбрасываются к умолчаниям (WAVE21_ZH_REPORT.md:102)";"21-Ж; решение мастера F-3";"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:102"
43;"Расчёты → Температурный диапазон, Изменение состава; Кинетика → Выделения; Затвердевание; Проекты и данные → Пакетный расчёт → кнопки выгрузки";"«Excel», «CSV», «PNG»; «Состояние модели NPZ», «Происхождение JSON», «PNG: доля»; «Скачать полный архив ZIP», «Скачать подготовленный XLSX»";"«Скачать Excel», «Скачать CSV», «Скачать PNG»; «Скачать состояние модели, NPZ», «Скачать происхождение, JSON», «Скачать график доли, PNG»; «Скачать полный архив, ZIP» (app/ThermoGar_app.py:11261), «Скачать подготовленный шаблон Excel»";"нет; содержимое и имена файлов прежние";"21-Ж; «да» владельца 24.09.2026 (19 надписей)";"8fbd0c0 (b7c34e8); REGISTER.md:1022; WAVE21_ZH_REPORT.md:90"
44;Свойства → Упругие свойства → таблица фаз;заголовки — ключи данных: phase, young_gpa, poisson, origin, source, reference_temperature_c, note;«Фаза», «E, ГПа», «ν», «Происхождение», «Источник», «Температура источника, °C», «Примечание» (app/ThermoGar_app.py:1476–1484);"нет; ключи данных и выгрузки прежние";"21-Ж; «да» владельца 24.09.2026";"8fbd0c0 (b7c34e8); REGISTER.md:1022; WAVE21_ZH_REPORT.md:90, 95"
45;"боковая панель → «Параллельный расчёт»; Расчёты → Температурный диапазон, Изменение состава";"«авто (3 воркера)»; «Параллельный расчёт: 3 воркера.»; «Последовательный расчёт в одном процессе.»; «Пул процессов отказал ({причина}); …»";"«авто (3 точки одновременно)»; «Параллельный расчёт: по 3 точки одновременно.»; «Последовательный расчёт.»; «Параллельный расчёт прерван; оставшиеся точки досчитаны последовательно.» (app/thermogar_parallel_ui.py:172–219)";"нет; меняется значение строки «Параллельный расчёт» листа «Параметры» Excel сканов; причина отказа пула в файл больше не пишется";"21-Ж; поправки мастера 41, 42, 79, 81";"8fbd0c0 (b7c34e8); REGISTER.md:1028, 1036; WAVE21_ZH_REPORT.md:88"
46;Свойства → Плотность, Плотность по T, Упругие свойства → оговорка о поправке хрома;«Плотность хрома посчитана по поправке проекта ThermoGar, а не по данным physical_data_v103.pdb: тепловая функция DTCRBCC заменена… THERMOGAR_PHYSICAL_OVERRIDES=off…»;«Плотность хрома посчитана по поправке проекта ThermoGar. Коэффициенты теплового расширения хрома взяты из статьи… при переносе в базу они искажены, и расширение хрома завышено в 2.5–3 раза против измерений… снимите галочку «Применять поправки проекта ThermoGar к физической базе».»;"нет: в databases/physical/overrides/physical_data_v103.overrides.json изменено только поле user_message (строка 63); выражение, коэффициенты, опорная плотность прежние";21-Ж2, строка 2 части 1 списка 21-Г;"8fbd0c0 (a1bc57c); REGISTER.md:1012, 1038, 1068; WAVE21_ZH2_REPORT.md:10–31"
47;Свойства → галочка поправок;"подсказка с «physical_data_v103.pdb… DTCRBCC… docs/DATABASES.md, раздел 8»; «Поправки выключены переменной окружения THERMOGAR_PHYSICAL_OVERRIDES: она сильнее галочки…»";"«Поправка проекта заменяет в физической базе тепловое расширение хрома…» (app/ThermoGar_app.py:1448); «Поправки выключены при запуске ThermoGar, поэтому галочка сейчас не действует.», переменная — в «Технических сведениях» (:1457–1464)";нет;21-Ж;"8fbd0c0 (b7c34e8); REGISTER.md:1024"
48;Кинетика → Выделения, Диффузия и гомогенизация → отказ по базе;"«KWN отклонён: название/путь/SHA-256 базы не соответствует закреплённому профилю 'ni'.»; «Diffusion отклонён: …»";"«Расчёт выделений не запущен: файл базы не совпадает с поставкой ThermoGar.», «… файл базы изменился во время загрузки.» (app/thermogar_precipitation.py:1127–1155); «Расчёт диффузии не запущен: …»";нет;21-Ж, 21-Ж2;"8fbd0c0 (b7c34e8, a1bc57c); REGISTER.md:1036, 1038; WAVE21_ZH2_REPORT.md:35"
49;Проекты и данные → Пакетный расчёт → столбец «Ошибка» (экран и Excel);«Ошибка» = текст исключения движка («{класс}: {текст}») или код причины;"своё сообщение ThermoGar — как есть; чужое — «расчёт строки не выполнен» (app/thermogar_workspace.py:2207–2213) и «Код ошибки» под таблицей; текст — в технический отчёт";"нет для чисел; меняется содержимое выгрузки: столбец «Ошибка» листа «Сводка» пакетного результата Excel, причина отказа строки из файла пропадает";21-Ж, строка 40 части 1;"8fbd0c0 (b7c34e8); REGISTER.md:1072; WAVE21_ZH_REPORT.md:78"
50;Проекты и данные → Пакетный расчёт → предпросмотр и сводка на экране;"заголовки name, database, balance, units, temperature_C…; «База» ni / al / fe, «Единицы» at / wt, столбец «База SHA-256»";"«Название», «База», «Основа», «Единицы», «Температура, °C», «Добавки»…; подпись базы, «ат.%» / «мас.%», без SHA-256";"нет; выгрузка «Сводка» прежняя, кроме «Ошибки»";21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:91, 97"
51;весь экран → дробный разделитель в текстах;запятая: «шаг 2,5–5 ат.%», «1726,85 °C», «Ni–9,8Al–8,3Cr», «Fe–0,20C»;точка: «Для первого запуска используйте 2.5–5 ат.%.» (app/ThermoGar_app.py:9512), «Ni–9.8Al–8.3Cr», «Загрузить учебный пример Fe–0.20C»;"нет; в поле ввода разделитель по-прежнему ставит браузер";"21-Ж; решение владельца 24.09.2026 (точка)";"8fbd0c0 (b7c34e8); REGISTER.md:1022, 1032"
52;весь экран → латиница и служебные слова;«FE_EXCLUDED_PHASES», «Экспериментальная квалификация: NOT_PERFORMED», «воркер», «physical_data.pdb», «DP-модель», «NaN», «benchmark», «KWN mode», «thermogar_patch», «order/disorder»;"«(решение о составе поставки)»; «ThermoGar 0.4.4 — исследовательское ПО. Экспериментальная квалификация не проводилась.» (боковая панель, app/ThermoGar_app.py:7110–7112); «физическая база», «модель плотности», «модель порядок/беспорядок»";"нет; справочник фаз: у одной строки на базу текст «Связанная модель порядок/беспорядок…» вместо «…order/disorder-модель…»";21-Ж, части 1–2 списка 21-Г;"8fbd0c0 (b7c34e8); REGISTER.md:1011"
53;Свойства → вкладки и кнопки физической базы;вкладка «Покрытие PDB», кнопки «Проверить парсер физической базы», «Обновить проверенное покрытие PDB»;вкладка «Покрытие физической базы» (app/ThermoGar_app.py:12110), «Проверить чтение физической базы», «Обновить покрытие физической базы»;"нет; лист Excel по-прежнему «Покрытие PDB»";21-Ж;8fbd0c0 (b7c34e8)
54;Свойства → Плотность, Плотность по T, Вклады упрочнения → выгрузки;"«Покрытие PDB по массе, %»; «полная по доступным прямым DP-моделям»; «Прямая DP-модель из physical_data.pdb.»";"«Покрытие физической базы по массе, %» (app/ThermoGar_app.py:1850); «полная по прямым моделям плотности»; «Прямая модель плотности из физической базы.»";"нет для чисел; меняется текст в Excel и CSV: подписи листа «Параметры», столбцы «Качество», «Примечание», «Формула»";21-Ж;8fbd0c0 (b7c34e8)
55;Кинетика → Диффузия и гомогенизация, Выделения → источник входных данных;"«DECLARED_SCENARIO_INPUT_NOT_MATERIAL_QUALIFICATION»; «Источник и назначение diffusion inputs»; «Сглаживающий коэффициент eps»";"«Объявленный сценарий, не данные материала»; «Источник и назначение исходных данных диффузии»; «Сглаживающий коэффициент ε»";"нет для чисел; меняется лист «Параметры» Excel диффузии, происхождение выделений (Excel, JSON) и история новых расчётов";21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:103"
56;Диаграммы → Карта доли фазы → столбец «Статус»;«не рассчитано: {текст исключения}»;«не рассчитано» (app/ThermoGar_app.py:6848) и «Код ошибки» под таблицей;"нет для чисел; меняется «Статус» в Excel «Расчётная сетка» и CSV карты";21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:74"
57;Проекты и данные → Проверка установки;"«### Окружение», «Корень проекта», «Ключ / Файл / SHA-256» на экране; «ошибка: {класс}: {текст}»";"«### Программы и версии», «Папка ThermoGar»; технические столбцы — в «Технических сведениях»; «ошибка чтения» + код";"нет для чисел; меняется JSON «Скачать отчёт диагностики»";21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:63–64, 77"
58;Проекты и данные → Паспорт базы;"пути, SHA-256, «Патч» прямо в таблице; pending_upstream_confirmation; «Steel/Fe · thermogar_patch… NOT_PERFORMED»";"технические строки — в «Технических сведениях»; «ждёт подтверждения автора базы», «отключён один параметр фазы C15_LAVES»; «Стальная база mc_fe 2.062 · …»";нет;21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:99"
59;Проекты и данные → Проекты и история, Марки и составы;"«Неподдерживаемая версия схемы…», «В envelope отсутствуют…», «Цепочка контрольных сумм истории совпала.»; история с SHA-256";"«Проект сохранён другой версией ThermoGar и не открывается.» (app/thermogar_workspace.py:430); «Файл повреждён или изменён вручную.»; «История расчётов цела: записи не менялись после сохранения.»; история на экране без SHA-256";"нет; выгрузка истории прежняя";21-Ж;8fbd0c0 (b7c34e8)
60;весь экран → подсказка недоступной кнопки выгрузки;«{код}: {подробность}» по-английски, например «C15_PHASE_REJECTED: …»;русская фраза по коду причины: «Фаза C15_LAVES для стальной базы исключена. Уберите её из набора фаз.» (app/thermogar_release_ui.py:24–45);нет;21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:79"
61;весь экран → запуск и файлы установки;«Запуск остановлен fail-closed…», «Не найдена папка databases…», «Путь physical database не соответствует SWR release policy.»;"«ThermoGar запущен не из своей папки. Откройте ThermoGar ярлыком.» (app/ThermoGar_app.py:331); «Файлы ThermoGar не найдены. Переустановите программу.» (:684)";нет;21-Ж;8fbd0c0 (b7c34e8)
62;боковая панель → сообщения;"«Fe-база thermogar_patch · C15_LAVES исключена»; «Глобальный контекст изменился…»; пути лицензий на виду";"«Стальная база: фаза C15_LAVES исключена из расчёта.» (app/ThermoGar_app.py:7251); «Параметры в боковой панели изменились…» (:7450); ошибка «Добавок» — «Состав не принят.» + своё сообщение; пути лицензий — в «Технических сведениях»";нет;21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:82"
63;"Энергии → Энергии фаз; Затвердевание → частичные отказы";"«Некоторые фазы пропущены: {фаза}: {текст исключения}»; «Ликвидус не найден: {ошибка}»; «Для этого раздела не установлен дополнительный пакет `scheil`…»";"«{фаза}: энергия не рассчитана» + код; «Ликвидус не найден.»; «Модуль Scheil–Gulliver недоступен. Остальные функции работают.»";нет;21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:57–58, 73"
64;Расчёты, Затвердевание → «Что именно проверено»;«Решатель не вернул фазовый состав.», «NaN или бесконечность…», «…открытым benchmark…»;"«Расчёт не дал фазового состава.», «Пустые или бесконечные значения…», «…опубликованным эталонным расчётом или другой программой.»; текст пустого решения — по строке 97";"нет для чисел; вероятно, меняется «Пояснение» листа «Проверка результата» в Excel (не проверено до конца)";21-Ж;"8fbd0c0 (b7c34e8); WAVE21_ZH_REPORT.md:72"
65;Свойства → расчёт через проверенные загрузчики;своё русское сообщение, поднятое внутри расчёта, приходило как чужое, текста на экране не было;своё сообщение причины выходит на экран, чужое — как прежде;нет;21-Ж2;"8fbd0c0 (a1bc57c); REGISTER.md:1036, 1038; WAVE21_ZH2_REPORT.md:47–50"
66;Проекты и данные → Как пользоваться;"«Версия 0.3.0…»; «…по physical_data.pdb»; «профиль `thermogar_patch`»; запятые";"«Версия {APP_VERSION}…» (app/ThermoGar_app.py:12552); «…по физической базе»; «mc_fe 2.062 с поправкой проекта ThermoGar»; точка";"нет; файл «Скачать краткое руководство» не менялся (NI, AL=15, запятые, physical_data.pdb)";21-Ж;"8fbd0c0 (b7c34e8, a1bc57c); WAVE21_ZH_REPORT.md:91"
67;внутреннее;русские тексты шли через ValueError / RuntimeError;"новый модуль app/thermogar_user_errors.py (UserValueError, UserRuntimeError, element_symbol…); 287 замен в 10 файлах; журнал ошибок: код записывается один раз";нет;21-Ж, 21-Ж2;"8fbd0c0 (b7c34e8, a1bc57c); REGISTER.md:1011; WAVE21_ZH_REPORT.md:21–41"
68;внутреннее (тесты);—;"tools/test_user_errors_21zh.py (47); счётчик нагрузки test_version_consistency 76 → 77; 13 тестов под новые тексты; test_14 ждёт «расчёт строки не выполнен»";нет;21-Ж, 21-Ж2;"8fbd0c0; REGISTER.md:1036, 1038, 1072; WAVE21_ZH_REPORT.md:148–199"
69;весь экран → основная кнопка и кнопка формы: наведение и фокус с клавиатуры;штатное затемнение Streamlit с белым текстом;фон и рамка #153F7F / #4587DE: текст 10.25:1 / 4.88:1;нет;21-З, замечание 1 приёмки 21-Е;"ce3bd53; REGISTER.md:1013, 1042; WAVE21_Z_REPORT.md:23–34, 89–101"
