№;шаг;что делается;чем (скрипт, файл:строка);что нужно от владельца;сколько заняло в 0.4.4 (отчёт 19-Д);что меняется для 0.5.0
9а;установка поверх;"до: sha256 Uninstall.exe, runtime\python.exe, app\ThermoGar_app.py; установщик /S; после: DisplayVersion, манифест, файлы тега = блобы";установщик NSIS (packaging/ThermoGar.nsi);один запрос UAC — подтверждает владелец;31 с (WAVE19_D_REPORT.md:19);поверх 0.4.4: до установки app\ThermoGar_app.py = блоб v0.4.4 (12310733…), DisplayVersion 0.4.4 → 0.5.0. Проекты 0.4.4 в %LOCALAPPDATA%\ThermoGar\workspace\projects сохранятся, но не откроются (app_version ≠ 0.5.0) — решение владельца
9б;приёмка (а): версия на экране;подпись боковой панели и APP_VERSION;results/wave19_d/priemka.py:138 (case_version);нет;приёмка (а)–(е) вместе — 6,1 мин (WAVE19_D_REPORT.md:20);"переносится; ожидание 0.5.0"
9в;приёмка (б): пакет Fe–0,8C, режим стали;"4 строки через _parse_csv и batch_engine_runner; доли = блобы 19-А; 4-я строка — ошибка с текстом владельца";priemka.py:173 (case_batch), :59 (UNKNOWN_MODE);нет;там же;"переносится: текст «Неизвестный режим стали…» прежний (app/thermogar_workspace.py:2353); это своё сообщение, в столбце «Ошибка» сводки оно остаётся (batch_row_error_text, :2207–2213). Для 0.5.0 это проверка без регресса, а не главная"
9г;приёмка (в): справочник фаз;CSV трёх баз побайтно = results/wave19_v2/posle;priemka.py:214 (case_phase_reference);нет;там же;"устарело: 21-Ж сменил «Связанная order/disorder-модель…» на «Связанная модель порядок/беспорядок…» (app/ThermoGar_app.py, phase_reference_dataframe, :5970); в CSV 19-В2 — по 1 такой строке на базу. Нужен новый эталон (снять тем же кодом в дереве на теге) или замена пункта"
9д;приёмка (г): RS320, «Плотность», 25 °C;2663,72 кг/м³;priemka.py:226–236 (case_density);нет;там же;переносится: расчёт плотности волны 20–22 не меняли (по отчётам — только тексты 21-Ж)
9е;приёмка (д): QUICK_START;первое упоминание версии в установленном файле;priemka.py:239 (case_quick_start);нет;там же;"переносится; ожидание 0.5.0"
9ж;приёмка (е): скан Fe с пулом и без;"таблицы равны, отказа пула нет; подписи режима";priemka.py:284–295 (case_pool);нет;там же;"устарела проверка текста: :291 ждёт «Последовательный расчёт в одном процессе.», после 21-Ж — «Последовательный расчёт.» (app/thermogar_parallel_ui.py:219); префикс «Параллельный расчёт:» прежний (:218). Равенство таблиц переносится; sha256 CSV из 18-Г и 19-Д — сверить заново (21-Ж и 12Б меняли выгрузки)"
10;реестр и отчёт на main;"строка задачи выпуска, строка «Выпуск 0.5.0 — …», HANDOFF, отчёт; push; ls-remote";"tasks/REGISTER.md; HANDOFF.md:1, :10";нет;3,5 мин (WAVE19_D_REPORT.md:21);без изменений
П1;до выпуска: 21-У;слияние и приёмка 21-У (BL-68, BL-70–72);ветка 21-У;приёмка мастером;—;"идёт параллельно; код приложения после него — окончательный для выпуска"
П2;до выпуска: пересборка руководства;съёмка 56 кадров (9 сценариев), сверка кадров, правка оставшихся мест глав, FEATURES.md, LIMITS, HTML 0.5.0;tools/make_guide_screens.py (без --only, с soobshcheniya), затем --html;"ответ по HTML_NAME и HTML_TITLE; «да» на текст правки BL-62";—;"оценка 21-П: 5–6 ч работы и около 1 ч машинного времени (WAVE21_P_REPORT.md:210–219); часть сделала 21-Р (19 мест глав, сценарии), поэтому меньше"
П3;до выпуска: эталон tab_snapshot;новый эталон, 130 случаев, на коде выпуска;tools/tab_snapshot.py, tools/tab_snapshot_compare.py;нет;— (в 20-А: 76,1 / 65,7 / 63,4 мин на прогон, REGISTER.md:994);"тяжёлый поток, один на машине; после 21-У и смены номера (подпись с версией попадёт в снимок). Для самого выпуска по 19-Д не обязателен, нужен как опора разреза BL-57 (REGISTER.md:997)"
П4;до выпуска: правка сценариев приёмки и сверки;"priemka.py, пункты (в) и (е); backend_compare.py — новая база или ожидаемая разница";копии в results/ задачи выпуска;нет;—;лёгкий поток, около 1 ч
