номер;суть;состояние (дословно, реестр на 976e707);реестр:строка;мешает ли выпуску 0.5.0
BL-45;сторож памяти исследовательского скрипта в tools/ не удерживает память;открыт, заведён 16-А2.;tasks/REGISTER.md:305;нет: исследовательский скрипт tools/, в поставку не входит (реестр :305)
BL-46;столбец pik_swap_MiB в results/wave16_a не отличает «не рос» от «пик»;открыт, заведён 16-А3, мелочь.;tasks/REGISTER.md:306;нет: таблица результатов исследования, мелочь (реестр :306)
BL-50;покрытие плотности: у 316L и 18Ni300 плотности сплава нет;"открыт, заведён 16-В; ждёт источников (`tasks/SOURCES_WANTED.md`, S-7).";tasks/REGISTER.md:310;"нет: ждёт источников (S-7); ограничение базы, было во всех выпусках (реестр :310)"
BL-51;«Плотность по T» Ni-20Cr: доли и плотность различаются в 14-м знаке в зависимости от каталога снимка;открыт, заведён 18-А.;tasks/REGISTER.md:311;"нет для программы; да для шагов выпуска: сверку «байт в байт» при приёмке вести на снимках одного происхождения (реестр :311)"
BL-57;разрез app/ThermoGar_app.py по плану ревью 21.09;"в работе, волна 20; шаг 0 — 20-А.";tasks/REGISTER.md:317;"нет: решение владельца 23.09.2026 — дизайн до разреза; выпуск разреза не требует; эталон tab_snapshot для разреза снимается заново после волны дизайна (реестр :317, :997)"
BL-60;байткод трёх модулей в app/__pycache__ во время регрессии (дочерние процессы пула);открыт, заведён 19-Е, мелочь;tasks/REGISTER.md:320;"нет: мелочь; мешает только tools/thermogar_paths_test.py::test_005 в дереве разработки — перед регрессией и после неё переносить __pycache__ в _to_delete, как 19-Д (реестр :320)"
BL-61;"пример в шапке packaging/build_installer.ps1 держит номер 0.4.3; тест версии этот файл не проверяет";открыт, заведён 19-Е.;tasks/REGISTER.md:321;"нет: входит в шаги выпуска — «в следующем выпуске поднять и внести файл в тест» (реестр :321); правка tools/test_version_consistency.py — в задаче выпуска"
BL-62;руководство пишет «ярлык ThermoGar на рабочем столе», а установщик создаёт ярлык только в меню «Пуск»;открыт, заведён 21-Г.;tasks/REGISTER.md:322;"да: «текст правки руководства — на «да» владельца, в ближайший выпуск» (реестр :322); руководство пересобирается к 0.5.0 — нужен ответ владельца до пересборки"
BL-64;воркер пула исполняет весь сценарий приложения: «missing ScriptRunContext» около 2000 строк на воркер в журнале сервера;открыт, заведён 21-И.;tasks/REGISTER.md:324;"нет: пользователь не видит, результаты верны; ложные записи в errors.jsonl устранены 21-З (реестр :324)"
BL-66;«Энергии → T₀», сталь: 12 строк с пустым составом отмечены «Решение найдено»;закрывается 21-О (сдано, мастер не смотрел).;tasks/REGISTER.md:326;"да: правка в main (21-О a6df161), но в реестре «закрывается 21-О (сдано, мастер не смотрел)»; до выпуска — приёмка 21-О и запись «закрыт»"
BL-68;«Свойства → Упругие свойства», шаг 2: пустые ячейки таблицы фаз показываются словом «None»;открыт, заведён 21-О.;tasks/REGISTER.md:328;"нет по существу: так было и в 0.4.4; закрывает 21-У, который идёт параллельно, — если мастер ставит 21-У до выпуска, пункт CHANGELOG «После 21-У» станет настоящим"
BL-69;замер памяти тестов THERMOGAR_MEMLOG падает на Linux (peak_wset только в Windows);открыт, заведён 21-О.;tasks/REGISTER.md:329;"нет: только тесты на Linux; регрессия выпуска идёт на Windows (реестр :329)"
