№,файл:строка,вид,где на экране,сегодня (дословно),находка (слово),класс слова,предлагается (дословно),новое / уже есть на экране (с адресом),почему (код правила)
20,app/thermogar_database_guard.py:559,столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, строка «Действие»",Действие | disable_exact_thermodynamic_parameter (значение из паспорта),disable_exact_thermodynamic_parameter,программист,Действие | отключён один параметр фазы C15_LAVES,новое: «отключён один параметр фазы»,W-1: английский служебный код
21,"app/thermogar_database_guard.py:552, app/thermogar_database_guard.py:554, app/thermogar_database_guard.py:566, app/thermogar_database_guard.py:569, app/thermogar_database_guard.py:570, app/thermogar_database_guard.py:571, app/thermogar_database_guard.py:576",столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, строки путей, контрольных сумм и сверки с эталоном",Рабочая база (thermogar_patch) | {путь}; SHA-256 рабочей базы | …; Активна команда -9e6 в рабочей базе | нет; Исходная база без патча (в расчётах не используется) | {путь}; Источник сверки с эталоном | …; SHA-256 непатченной базы | …; Активна команда -9e6 в непатченной базе | …,thermogar_patch; SHA-256; -9e6; патч; пути,программист,эти строки — в «Технические сведения» под таблицей,уже есть: «Технические сведения». Новых слов нет,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
22,"app/thermogar_database_guard.py:417, app/thermogar_database_guard.py:419, app/thermogar_database_guard.py:508",столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, значения сверки с эталоном","сверка невозможна: нет ни эталонной базы, ни её отпечатка / (из отпечатка) / эталонная база не поставляется, сверка по отпечатку {имя файла}",отпечаток; имя файла,программист,вместе со строками сверки — в «Технические сведения»,уже есть: «Технические сведения». Новых слов нет,W-1: «отпечаток»; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
23,app/thermogar_database_guard.py:578,столбец,Проекты и данные → Паспорт базы (сталь) → таблица,Проверка в нативном MatCalc | не проводилась,нативном; MatCalc,программист (нативный); MatCalc — имя программы,Проверка в MatCalc | не проводилась,"уже есть: «Проверка в … MatCalc», «не проводилась» (thermogar_database_guard.py:578). Новых слов нет","W-1: «нативный» — словарь программиста; MatCalc — имя программы, как Kawin"
24,app/ThermoGar_app.py:11861,заголовок,Проекты и данные → Паспорт базы (сталь) → свёрнутый блок с JSON,JSON-паспорт патча конвертера,JSON; паспорт патча конвертера,программист,Технические сведения,уже есть: «Технические сведения» (thermogar_stage14.py:409). Новых слов нет,"W-1: «патч», «конвертер»; решение владельца 24.09.2026: технические подробности — в «Технические сведения»"
25,app/ThermoGar_app.py:11885,markdown,Проекты и данные → Как пользоваться → «Что считает каждый раздел»,"- **Свойства** — плотность и объёмные доли по physical_data.pdb, Voigt–Reuss–Hill и вклады механизмов упрочнения по явно введённым коэффициентам.",physical_data.pdb,программист,"- **Свойства** — плотность и объёмные доли по физической базе, Voigt–Reuss–Hill и вклады механизмов упрочнения по явно введённым коэффициентам.",уже есть: «по физической базе» (thermogar_verified_properties.py:452). Новых слов нет,W-1: имя файла
26,app/ThermoGar_app.py:11911,markdown,Проекты и данные → Как пользоваться → «Три базы и стальная база»,"- Стальная база — mc_fe 2.062, профиль `thermogar_patch`; фаза `C15_LAVES` исключена из расчёта и не выбирается вручную.",профиль; thermogar_patch,программист,- Стальная база — mc_fe 2.062 с поправкой проекта ThermoGar: фаза `C15_LAVES` исключена из расчёта и не выбирается вручную.,"уже есть: «с поправкой» (thermogar_physical.py:413), «Поправка проекта» (ThermoGar_app.py:1301). Новых слов нет","W-1: «профиль», внутреннее имя профиля"
27,app/ThermoGar_app.py:11911,markdown,Проекты и данные → Как пользоваться → «Три базы и стальная база»,"- `filter_phases` оставляет упорядоченную половину пары порядок/беспорядок, поэтому матрица называется `GP_MAT` для алюминия и `BCC_B2` для стали. Это не ошибка расчёта; смысл названий смотрите в справочнике фаз.",filter_phases,программист,"- ThermoGar оставляет упорядоченную половину пары порядок/беспорядок, поэтому матрица называется `GP_MAT` для алюминия и `BCC_B2` для стали. Это не ошибка расчёта; смысл названий смотрите в справочнике фаз.","уже есть: всё, кроме замены. Новых слов нет",W-1: имя функции pycalphad
28,"app/ThermoGar_app.py:8184, app/ThermoGar_app.py:11942",вкладка,Диаграммы → вкладка; Проекты и данные → Как пользоваться → «Как построить тройную диаграмму»,Тройная при T = const,const,материаловед,без изменений,уже есть: текст на экране. Новых слов нет,W-1: обозначение «T = const» — из словаря материаловеда
29,app/ThermoGar_app.py:12026,подпись,Проекты и данные → Как пользоваться → «Как рассчитать плотность и объёмные доли»,"Прямая DP-модель взята из physical_data.pdb. Оценочная модель означает, что упорядоченная фаза использует плотность связанной разупорядоченной структуры. …",DP; physical_data.pdb,программист; DP — ключевое слово файла базы,"Прямая модель плотности взята из физической базы. Оценочная модель означает, что упорядоченная фаза использует плотность связанной разупорядоченной структуры. …","уже есть: «модели плотности» (ThermoGar_app.py:12026), «физической базы». Новое: «Прямая модель плотности»",W-1: имя файла; «DP-модель» — внутреннее имя модели файла (как 2в 21-В)
30,app/ThermoGar_app.py:12055,markdown,"Проекты и данные → Как пользоваться → «Как сохранить состав, рассчитать таблицу и продолжить проект»","3. **Проекты и история:** проект сохраняет настройки, а история — факт расчёта и отпечаток базы.",отпечаток,программист,"3. **Проекты и история:** проект сохраняет настройки, а история — факт расчёта и версию базы.","уже есть: «версии базы» (ThermoGar_app.py:12055, там же в п. 4). Новых слов нет",W-1: «отпечаток» — внутреннее слово
31,app/thermogar_workspace.py:1633,подпись,Проекты и данные → Проекты и история → под заголовком,Проект сохраняет материал и числовые настройки расчётных разделов. История хранит отпечаток базы и цепочку контрольных сумм.,отпечаток; цепочка контрольных сумм,программист,"Проект сохраняет материал и числовые настройки расчётных разделов. История хранит версию базы каждого расчёта и позволяет проверить, что записи не менялись после сохранения.","уже есть: первая фраза, «версии базы». Новое: «позволяет проверить, что записи не менялись после сохранения» (оборот «записи не менялись после сохранения» — из А23 21-В, на «да» владельца)","W-1: «отпечаток», «цепочка контрольных сумм»"
32,"app/thermogar_workspace.py:1510, app/thermogar_workspace.py:1511",столбец,Проекты и данные → Проекты и история → таблица истории,База SHA-256 / Запись SHA-256,SHA-256,программист,столбцы — только в выгрузке истории; на экране не показывать,новых слов нет,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
33,app/thermogar_workspace.py:1505,столбец,"Проекты и данные → Проекты и история → таблица истории, столбец «Подробности»","JSON с ключами temperature_c, temperature_from_c, temperature_to_c, points, mass_coverage_pct, E_Hill_GPa, G_Hill_GPa, nu_Hill, summation_rule, total_mpa",ключи JSON,программист,"подписи величин, как в таблицах результатов: «Температура, °C», «Покрытие PDB по массе, %» (после Г2 — «Покрытие физической базы по массе, %»), «E_Hill, ГПа», «G_Hill, ГПа», «ν_Hill», «Правило объединения», «Итог, МПа»","уже есть: «Температура, °C», «Покрытие … по массе, %» (ThermoGar_app.py:1673), «Правило объединения» (ThermoGar_app.py:2268), «Итог, МПа» (ThermoGar_app.py:2380). Новое: «E_Hill, ГПа», «G_Hill, ГПа», «ν_Hill» — только в недостижимом коде (thermogar_properties.py:1707–1713)",W-1: ключи JSON — словарь программиста
34,app/thermogar_workspace.py:1344,сообщение,"всплывающее предупреждение «… запись в историю не добавлена: …» (места 55, 67 CSV 21-В)",Новая запись не добавлена: цепочка history.jsonl повреждена. Сначала сохраните повреждённый файл отдельно и начните новую историю.,history.jsonl; цепочка,программист,Новая запись не добавлена: история расчётов повреждена. Сохраните её файл отдельно и начните новую историю.,"уже есть: «История расчётов» (thermogar_workspace.py:1640), «начните новую историю». Новое: «история расчётов повреждена» (из А24 21-В, на «да» владельца)","W-1: имя файла, «цепочка»"
35,app/thermogar_workspace.py:159,сообщение,"Проекты и данные → загрузка файла (REJECTION_MESSAGES, C15_PHASE_REJECTED)",В файле указана фаза C15_LAVES. Для стального профиля thermogar_patch она исключена; уберите её и повторите загрузку.,профиль; thermogar_patch,программист,В файле указана фаза C15_LAVES. Для стальной базы она исключена; уберите её и повторите загрузку.,"уже есть: всё, кроме замены; «стальной базы» (ThermoGar_app.py:11833). Новых слов нет","W-1: «профиль», внутреннее имя профиля"
36,"app/thermogar_workspace.py:170, app/thermogar_workspace.py:171",сообщение,"Проекты и данные → загрузка файла (REJECTION_MESSAGES: PROFILE_KEY_REJECTED, PATCH_ID_MISMATCH)",В файле указан недопустимый профиль базы. / Профиль стальной базы в файле не совпадает с текущим.,профиль,программист,Стальная база в файле не совпадает с текущей.,"новое: «Стальная база в файле не совпадает с текущей» (близко к А6 21-В «Сохранённая стальная база не совпадает с текущей», на «да» владельца)",W-1: «профиль» — внутреннее слово
37,app/thermogar_workspace.py:172,сообщение,"Проекты и данные → загрузка файла (REJECTION_MESSAGES, TDB_HASH_MISMATCH)",Контрольная сумма базы в файле не совпадает с текущей.,контрольная сумма,программист,Файл сохранён на другой версии базы.,уже есть: «версии базы» (ThermoGar_app.py:12055). Новое: «Файл сохранён на другой версии базы»,"W-1: «контрольная сумма» — устройство проверки, а не её вывод"
38,app/thermogar_workspace.py:173,сообщение,"Проекты и данные → загрузка файла (REJECTION_MESSAGES, PASSPORT_REQUIRED)",Для стальной базы требуется паспорт профиля.,профиль,программист,В файле нет паспорта стальной базы.,"уже есть: «Паспорт базы» (вкладка), «стальной базы». Новое: «В файле нет паспорта» (близко к строке 14 CSV 21-В «Паспорт стальной базы не прошёл проверку»)",W-1: «паспорт профиля»
39,app/thermogar_workspace.py:1185,сообщение,Проекты и данные → Марки и составы → выбранная запись,В этой записи нет допустимого контекста базы; она остаётся данными библиотеки и не может запускать расчёт.,контекст,программист,"В этой записи не указана допустимая база; она остаётся в библиотеке, но расчёт по ней не запускается.","новое: «не указана допустимая база», «расчёт по ней не запускается»",W-1: «контекст базы» — внутреннее слово
40,"app/thermogar_workspace.py:1023, app/thermogar_workspace.py:1297",сообщение / подпись,Проекты и данные → Марки и составы → импорт библиотеки,Найдены совпадающие ID. Включите разрешение на замену либо импортируйте файл без конфликтующих записей. / Разрешить заменить записи с совпадающим ID,ID,программист,"В файле есть записи, которые уже есть в библиотеке. Включите разрешение на замену либо импортируйте файл без этих записей. / Разрешить заменить записи, которые уже есть в библиотеке","новое: «записи, которые уже есть в библиотеке»","W-1: ID — внутренний номер записи, пользователь его не видит"
41,app/thermogar_workspace.py:885,сообщение,Проекты и данные → Марки и составы → сохранение или удаление записи (место 56 CSV 21-В),Файл alloys.json не читается; изменение библиотеки отклонено.,alloys.json,программист,Файл библиотеки не читается; изменение библиотеки отклонено.,уже есть: «Файл библиотеки» (thermogar_workspace.py:1290). Новых слов нет,W-1: имя файла
42,"app/thermogar_workspace.py:372, app/thermogar_workspace.py:377",сообщение,"Проекты и данные → открытие и импорт проекта, восстановление истории (места 61, 63, 64 CSV 21-В)",Поле {field_name} должно быть ISO-датой со смещением.,ISO; имя поля,программист,Структура файла не совпадает с ожидаемой.,уже есть дословно: thermogar_workspace.py:167,"W-1: ISO-дата, английское имя поля"
43,"app/thermogar_workspace.py:398, app/thermogar_workspace.py:404, app/thermogar_workspace.py:441, app/thermogar_workspace.py:460, app/thermogar_workspace.py:464, app/thermogar_workspace.py:467, app/thermogar_workspace.py:491, app/thermogar_workspace.py:496, app/thermogar_workspace.py:541, app/thermogar_workspace.py:546",сообщение,"Проекты и данные → открытие и импорт проекта, загрузка истории (места 61, 63, 64 CSV 21-В)",В envelope отсутствуют обязательные поля: … / Envelope содержит неизвестные поля: … / Контекст должен быть JSON-объектом. / Контекст неполон; отсутствуют поля: … / Контекст содержит неизвестные поля: … / Ключ базы должен быть строкой. / Единицы должны быть строго 'at' или 'wt'. / Режим должен быть строго 'stable' или 'metastable'. / Путь базы в контексте должен быть непустой строкой. / Название базы в контексте должно быть непустой строкой.,envelope; контекст; JSON-объект; ключ; 'at'/'wt'; 'stable'/'metastable'; строка,программист,Структура файла не совпадает с ожидаемой.,уже есть дословно: thermogar_workspace.py:167,W-1: внутренние имена полей и типов
44,"app/thermogar_workspace.py:413, app/thermogar_workspace.py:644, app/thermogar_workspace.py:657",сообщение,"Проекты и данные → открытие и импорт проекта (места 61, 63 CSV 21-В)","Неподдерживаемая версия схемы: ожидалась {…}, получена {…}. Автоматическая миграция не выполняется. / Схема проекта не совпадает (…) / Версия схемы проекта должна быть целым числом; автоматическое приведение типа отключено.",схема; миграция; приведение типа,программист,Проект сохранён другой версией ThermoGar и не открывается.,уже есть: «Проект сохранён другой версией ThermoGar» (thermogar_workspace.py:667). Новое: «и не открывается»,"W-1: «схема», «миграция», «приведение типа»"
45,"app/thermogar_workspace.py:428, app/thermogar_workspace.py:433",сообщение,"Проекты и данные → открытие и импорт проекта (места 61, 63 CSV 21-В)",Обязательная контрольная сумма SHA-256 отсутствует или неверна. / Контрольная сумма файла не совпала.,SHA-256; контрольная сумма,программист,Файл повреждён или изменён вручную.,"новое: «Файл повреждён или изменён вручную» (оборот «изменена вручную» — из А24 21-В, на «да» владельца)",W-1: «контрольная сумма»
46,"app/thermogar_workspace.py:551, app/thermogar_workspace.py:563, app/thermogar_workspace.py:567, app/thermogar_workspace.py:573, app/thermogar_workspace.py:576",сообщение,"Проекты и данные → открытие и импорт проекта (места 61, 63 CSV 21-В)",Fe-контекст отклонён: требуется единственный профиль {FE_PROFILE_CANONICAL}; получен {…}. / Fe-контекст отклонён: путь базы не соответствует каноническому профилю thermogar_patch. / Fe-профиль не допускается для Ni/Al-контекста. / SHA-256 базы в контексте имеет неверный формат. / Fe-контекст отклонён: SHA-256 базы отсутствует или не совпадает с каноническим профилем thermogar_patch.,контекст; профиль; канонический; thermogar_patch; SHA-256,программист,Стальная база в файле не совпадает с текущей.,новое: как строка «В файле указан недопустимый профиль базы» выше,W-1: внутренние слова
47,"app/thermogar_workspace.py:2066, app/thermogar_workspace.py:2070",сообщение,Проекты и данные → Пакетный расчёт (место 66 CSV 21-В),Каноническая пакетная таблица повреждена.,каноническая,программист,Таблица пакетного расчёта повреждена.,"уже есть: «пакетного расчёта» (ThermoGar_app.py:3425), «повреждена». Новых слов нет",W-1: «каноническая» — внутреннее слово
48,"app/thermogar_workspace.py:2111, app/thermogar_workspace.py:2512",сообщение / markdown,Проекты и данные → Пакетный расчёт → правила таблицы и ошибка строки,"Неизвестная база: {value}. Используйте ni, al или fe. / - **База** — только `ni`, `al` или `fe`;",ni; al; fe (ключи баз),программист,без изменений,уже есть: текст на экране. Новых слов нет,"W-1, исключение: это значения, которые пользователь вписывает в столбец «База» шаблона"
49,"app/thermogar_workspace.py:2389, app/thermogar_workspace.py:2391, app/thermogar_workspace.py:2398",столбец,Проекты и данные → Пакетный расчёт → таблица результатов,столбец «База»: ni / al / fe; столбец «Единицы»: at / wt; столбец «База SHA-256»,ni/al/fe; at/wt; SHA-256,программист,"«База» — подпись базы, как в боковой панели; «Единицы» — «ат.%» или «мас.%»; «База SHA-256» — только в выгрузке","уже есть: подписи баз (ThermoGar_app.py:278, 292, 308), «ат.%», «мас.%». Новых слов нет",W-1: ключи; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
50,"app/thermogar_workspace.py:2346, app/thermogar_workspace.py:2365, app/thermogar_workspace.py:2378",сообщение,"Проекты и данные → Пакетный расчёт (места 66, 78, 79 CSV 21-В)","Движок вернул не столько строк, сколько получил. / Движок вернул строку неизвестного вида. / Движок вернул строку без обязательных полей.",движок; вернул,программист,Пакетный расчёт не выполнен.,"уже есть: «Пакетный расчёт», «не выполнен» (thermogar_stage14.py:295). Новых слов нет","W-1: «движок», «вернул» — словарь программиста"
51,app/thermogar_workspace.py:2543,подпись,Проекты и данные → Пакетный расчёт → под загрузкой таблицы,"Скачайте шаблон выше и заполните его, не меняя названий столбцов. Разделитель CSV — запятая или точка с запятой, кодировка — UTF-8.",CSV; UTF-8; кодировка,программист,без изменений,уже есть: текст на экране. Новых слов нет,"W-1, исключение: пользователь сам сохраняет файл в этой кодировке, Excel называет формат «CSV UTF-8»"
52,app/thermogar_stage14.py:1194,подпись,Проекты и данные → Проверка установки → под заголовком,"Этот экран проверяет окружение, целостность release-баз и короткие эталонных расчёта. Он не заменяет экспериментальную валидацию.",окружение; release-баз; «короткие эталонных расчёта»; валидацию,программист; ошибка языка,"Этот раздел проверяет установку, целостность баз и три контрольных расчёта. Он не заменяет экспериментальную проверку.","уже есть: «три контрольных расчёта» (thermogar_stage14.py:1231). Новое: «проверяет установку», «экспериментальную проверку»","W-1: «окружение», «release», «валидация»; ошибка согласования «короткие эталонных расчёта»"
53,app/thermogar_stage14.py:1198,заголовок,Проекты и данные → Проверка установки,### Окружение,окружение,программист,### Программы и версии,новое: «Программы и версии»,W-1: «окружение» — словарь программиста; W-3: заголовок — что в таблице
54,app/thermogar_stage14.py:878,столбец,Проекты и данные → Проверка установки → таблица под «Окружение»,Корень проекта | {путь},корень проекта,программист,Папка ThermoGar | {путь},уже есть: «папке ThermoGar» (thermogar_workspace.py:1659). Новое: форма «Папка ThermoGar»,W-1: «корень проекта» — словарь программиста
55,"app/thermogar_stage14.py:928, app/thermogar_stage14.py:949",столбец,Проекты и данные → Проверка установки → «Файлы баз» и «Результат загрузки баз»,"столбцы «Ключ», «Файл» (полный путь), «SHA-256»",ключ; путь; SHA-256,программист,"столбцы «Ключ», «Файл», «SHA-256» — в «Технические сведения» под таблицей",уже есть: «Технические сведения». Новых слов нет,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
56,"app/thermogar_stage14.py:1207, app/thermogar_stage14.py:1215, app/thermogar_stage14.py:1223, app/thermogar_stage14.py:1417",сообщение,Проекты и данные → Проверка установки → «Причина: …» (места 52–54 CSV 21-В),пакет scheil не установлен / пакет kawin не установлен / Kawin precipitation не импортирован / пакет scheil не импортирован,пакет; scheil; precipitation; импортирован,программист,"«Причина: …» — в «Технические сведения», на экране — первая фраза («Модуль … недоступен. …»)","уже есть: первые фразы (thermogar_stage14.py:1206, 1214, 1222). Новых слов нет","W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»; так же, как решено для Б1–Б3"
57,app/thermogar_stage14.py:413,подпись,любой раздел → сообщение об ошибке → «Технические сведения»,Полный traceback не выводится на основной экран. Он сохранён локально и доступен в отчёте ниже.,traceback,программист,Подробности ошибки — в техническом отчёте ниже.,"уже есть: «технический отчёт» (кнопка «Скачать технический отчёт», thermogar_stage14.py:417). Новое: «Подробности ошибки»",W-1: traceback
58,app/thermogar_stage14.py:487,сообщение,Расчёты → Одна температура → «Что именно проверено»,"Это проверка численной целостности, а не сравнение с открытым benchmark или независимым программным комплексом.",benchmark,чужое обоим,"Это проверка численной целостности, а не сравнение с опубликованным эталонным расчётом или другой программой.",уже есть: «эталонных расчёта» (thermogar_stage14.py:1194). Новое: «опубликованным эталонным расчётом или другой программой»,W-1: английское слово
