файл:строка;цитата (до 200 знаков);что устарело;задание или решение
USER_GUIDE_THERMOGAR.md:243;- **Покрытие PDB** — какие равновесные фазы обеспечены физическими данными.;Подвкладка называется «Покрытие физической базы» (app/ThermoGar_app.py:12141).;"21-Ж; правка"
USER_GUIDE_THERMOGAR.md:247–253;- **Однофазная пара** — одномерная диффузия в диффузионной паре. - **Многофазная гомогенизация** — локально-равновесная модель. - **Покрытие базы подвижностей** — какие фазы несут данные о подвижност…;"«Однофазная пара», «Многофазная гомогенизация», «Покрытие базы подвижностей» — варианты переключателя подвкладки «Диффузия и гомогенизация» (app/thermogar_diffusion.py:1540–1552; app/ThermoGar_app.py:12227–12228); вкладок нет.";"21-И; правка"
USER_GUIDE_THERMOGAR.md:268;Предупреждения расчёта выделений выводятся над вкладками результата. Кроме;Вкладок результата нет: предупреждения — над переключателем видов «Итоги / Кинетика и состав / Распределение размеров / Экспорт и ограничения» (app/thermogar_precipitation.py:1829–1848).;"21-И; правка"
USER_GUIDE_THERMOGAR.md:275–280;> Радиус зародыша 1.02 нм (оценка при 800.0 °C) больше начального максимального > радиуса сетки 0.5 нм, поэтому первые зародыши записываются мельче своего > размера, пока kawin не достроит сетку. Ито…;В коде: «…пока модель не расширит сетку размеров.» вместо «…пока kawin не достроит сетку.» (app/thermogar_precipitation.py:1033–1038).;"21-Ж; правка цитаты"
USER_GUIDE_THERMOGAR.md:285–301;**Расчёт остановлен: добавка вычерпана из матрицы.** Если по ходу счёта доля какой-то добавки в матрице становится нулевой, расчёт останавливается, показывает посчитанную часть и выводит над вкладкам…;"Место примера остановки расчёта выделений: остановка — при доле в матрице ≤ 0 до зажима (22-Б); текст — «доля Nb … ушла ниже нуля» при отрицательной доле, без хвоста «; см. docs/…», символ Nb (app/thermogar_precipitation.py:185–189, :371–384); выводится st.error над переключателем, не «над вкладками» (:1832–1837); кадр soobshcheniya-03.png устарел.";"22-Б, 21-О (3В), 21-Ж, 21-И; не трогать — правит задача выпуска по текстам 21-Х"
USER_GUIDE_THERMOGAR.md:324–328;"Под каждым результатом есть кнопки выгрузки: - **Excel** — таблицы результата, по листу на таблицу; - **CSV** — та же таблица одним файлом в UTF-8; - **PNG** — график в том виде, в каком он на экране.";В «Затвердевании» выгрузки — на варианте «Выгрузка» (app/ThermoGar_app.py:11098, :11246–11290), в «Выделениях» — на «Экспорт и ограничения» (app/thermogar_precipitation.py:1842, :1864–1870). Попутно, до волны 20: CSV есть не везде, у «Одной температуры» — только «Скачать результат в Excel» (app/ThermoGar_app.py:7807).;"21-И; правка (попутное — без правки)"
USER_GUIDE_THERMOGAR.md:330–331;Кнопка сначала готовит файл, затем появляется вторая кнопка — собственно скачивание. Файл попадает в папку загрузок браузера.;"Для результатов расчёта — одна кнопка st.download_button (app/thermogar_release_ui.py:127–130); две кнопки только в «Проектах и данных» (app/thermogar_workspace.py:2717/2729, :2750, :2924).";"попутно — до волны 20; без правки"
USER_GUIDE_THERMOGAR.md:348–351;2. Заполните колонки: **Название**, **База** (`ni`, `al` или `fe`), **Основа**, **Единицы**, **Температура, °C**, **Добавки**. Необязательно — **Давление, Па**, **Режим стали**, **Фазы**. Вместо коло…;"Отдельные столбцы на экране — «`C`, `Cr`, `Ni`» (app/thermogar_workspace.py:2765); регистр не важен (:2413).";"21-Ж; правка"
USER_GUIDE_THERMOGAR.md:380–381;**Паспорт базы** показывает точный файл, профиль, контрольную сумму и состав патча. **Справочник фаз** расшифровывает имена фаз с поиском по коду.;"«Файл» и «SHA-256» убраны в свёрнутые «Технические сведения» (app/ThermoGar_app.py:12576–12588; у стали :12605–12613).";"21-Ж; правка"
USER_GUIDE_THERMOGAR.md:427–429;- **Кнопка расчёта ничего не выводит, а появляется красное сообщение** — прочитайте его: чаще всего это состав с элементом, которого нет в базе, или сумма добавок 100 % и больше.;"Под сообщением — «Код ошибки: …» и свёрнутые «Технические сведения» с «Скачать технический отчёт» (app/thermogar_stage14.py:453–468); неактивная кнопка — причина под ней (21-М, 11Б).";"21-Ж, 21-М (11Б); правка"
USER_GUIDE_THERMOGAR.md:432–433;"- **«Расчёт остановлен…» или «Расчёт прерван…» в расчёте выделений** — добавка вычерпана из матрицы; посчитанная часть показана, досчитать такой случай программа не может (раздел 4, «Кинетика»).";Верно: оба начала сохранились (app/thermogar_precipitation.py:371–400).;"21-О, 22-Б; без правки"
USER_GUIDE_THERMOGAR.md:437–438;"- **Расчёт идёт слишком долго** — увеличьте шаг сетки; на алюминиевой базе это единственный способ уложиться в разумное время.";Шаги сеток — в свёрнутом блоке «Точность и критерии».;"21-М (решение 2); правка"
USER_GUIDE_THERMOGAR.md:440–441;- **Плотность не выводится** — откройте «Покрытие PDB»: скорее всего, для одной из равновесных фаз в физической базе нет модели.;"Подвкладка — «Покрытие физической базы» (app/ThermoGar_app.py:12141; так же в подсказке app/thermogar_stage14.py:265).";"21-Ж; правка"
USER_GUIDE_THERMOGAR.md:450–451;Технические отчёты об ошибках пишутся в `logs\` внутри папки данных — их удобно приложить к сообщению о проблеме.;Не упомянута кнопка «Скачать технический отчёт» (app/thermogar_stage14.py:463). Пробел, ложного текста нет.;"попутно, 21-Ж; без правки (пробел)"
QUICK_START_THERMOGAR.md:19–21;1. В боковой панели выберите базу: **Никелевые сплавы**, **Алюминиевые сплавы** или **Стали и Fe-сплавы**. 2. Проверьте элемент-основу и единицы состава (ат.% или мас.%).;"Названия баз — с «— mc_ni 2.036» и т. д. (app/ThermoGar_app.py:338–369); единицы — «атомные %» / «массовые %» (:7342).";"попутно — до волны 20; без правки"
QUICK_START_THERMOGAR.md:22–23;3. В поле **Добавки** введите состав в виде `ЭЛЕМЕНТ=ЧИСЛО` через запятую, например `C=0.2, CR=11.5, NI=0.7`. Остаток до 100 % — основа.;Пример `C=0.2, CR=11.5, NI=0.7`: на экране — «C=0.20, Cr=11.5, Ni=0.7» (app/ThermoGar_app.py:358–360).;"21-Ж; правка"
QUICK_START_THERMOGAR.md:26–27;"5. В таблице появятся фазы и их доли; кнопки под таблицей выгружают результат в Excel, CSV и PNG.";У «Одной температуры» только «Скачать результат в Excel» (app/ThermoGar_app.py:7807).;"попутно — до волны 20; без правки"
QUICK_START_THERMOGAR.md:33–35;| Никелевые сплавы | `AL=15` | ат.% | 700 °C | FCC_A1 + GAMMA_PRIME | | Алюминиевые сплавы | `CU=4, MG=1` | мас.% | 500 °C | GP_MAT + THETA_AL2CU | | Стали и Fe-сплавы | `C=0.2, CR=11.5, NI=0.7` | ма…;"Составы в таблице — заглавными; на экране «Al=15» (app/ThermoGar_app.py:344), «Cu=4» (:375), «C=0.20, Cr=11.5, Ni=0.7» (:358–360).";"21-Ж; правка"
README.md:20;Семь рабочих разделов, каждый доступен для всех трёх баз:;На алюминиевой базе «Рассчитать гомогенизацию» неактивна (app/thermogar_diffusion.py:1788–1794).;"попутно; без правки"
README.md:30;| Проекты и данные | библиотека составов, пакетный расчёт, проекты, история, паспорт базы, справочник фаз |;Нет подвкладок «Как пользоваться» и «Проверка установки» (app/ThermoGar_app.py:12474–12482).;"попутно — до волны 20; без правки"
README.md:32;Любой результат выгружается в Excel, CSV и PNG.;"CSV не везде; есть ZIP, NPZ, JSON; в «Затвердевании» и «Выделениях» выгрузки — на отдельном варианте переключателя. Места выгрузки строка не описывает.";"21-И, попутно; без правки"
README.md:201–203;"- Упругие свойства: `E` и `ν` каждой фазы вводит пользователь с указанием источника; Voigt и Reuss — идеализированные границы, Hill — их среднее. Текстура, пористость и морфология не учитываются.";"Раздел «Ограничения», экран не описан; обязательны ещё происхождение и температура источника (app/thermogar_properties.py:1185–1189).";"попутно, 21-М; без правки"
README.md:206–208;"- Плотность выводится только при покрытии всех равновесных фаз данными PDB; для Al–Cu–Mg покрытие 98,9 % (нет модели для `THETA_AL2CU`), поэтому плотность сплава не рассчитывается.";"Термин «данные PDB» — не название на экране; подвкладка — «Покрытие физической базы» (app/ThermoGar_app.py:12141).";"21-Ж; без правки"
