строка;было;стало;основание;пометка
app/ThermoGar_app.py:12413–12416;"4. Правило суммирования выбирайте явно; по умолчанию вклады не суммируются.";"4. Правило суммирования выбирайте явно; по умолчанию вклады не суммируются. 5. Заполните «Источник и область применимости входов» и поставьте галочку «Подтверждаю область применимости введённых коэффициентов». Пока этого нет, кнопка «Рассчитать вклады» неактивна, под ней сказано, что заполнить.";"опись 21-Ц №9 (:12394–12396); app/ThermoGar_app.py:2475, :2479, :2582–2598; app/thermogar_properties.py:1258–1263";"шаблон: неактивная кнопка; первая фраза шага 5 — новая формулировка — на проверку мастера"
app/ThermoGar_app.py:12424–12425;1. Откройте верхний раздел **Кинетика**. 2. Выберите **однофазную пару** либо **многофазную гомогенизацию**.;1. Откройте **Кинетика → Диффузия и гомогенизация**. 2. Выберите вариант **«Однофазная пара»** либо **«Многофазная гомогенизация»** переключателя.;"опись 21-Ц №10 (:12404–12405); app/ThermoGar_app.py:12227–12228; app/thermogar_diffusion.py:1540–1545";"шаблон: вариант переключателя; название дословно по коду"
app/ThermoGar_app.py:12427–12428;4. Для первого теста оставьте 50–100 ячеек и не более трёх компонентов.;4. Для первого теста оставьте 50–100 ячеек и не более трёх компонентов. «Длина области, мкм» и «Ячеек (12–160)» — в свёрнутом блоке «Параметры модели»: раскройте его.;"опись 21-Ц №11 (:12406–12407); app/thermogar_diffusion.py:1446, :1467, :1601; app/thermogar_release_ui.py:53";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12432–12433;требует выбора геометрического правила усреднения подвижностей.;требует выбора геометрического правила усреднения подвижностей. «Модель эффективной подвижности» — в свёрнутом блоке «Параметры модели»: раскройте его.;"опись 21-Ц №13 (:12411); app/thermogar_diffusion.py:1737, :1745";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12442–12444;6. Анализируйте объёмную долю, средний радиус, плотность частиц, скорость зарождения, состав матрицы и итоговое распределение размеров.;6. Анализируйте объёмную долю, средний радиус, плотность частиц, скорость зарождения, состав матрицы и итоговое распределение размеров — варианты «Итоги», «Кинетика и состав» и «Распределение размеров» переключателя видов.;"опись 21-Ц №14 (:12420); app/thermogar_precipitation.py:1840–1842";шаблон: вариант переключателя
app/ThermoGar_app.py:12470–12472;3. Задайте температуру и шаг: начните с 5 %, затем уменьшайте до 2–2,5 %.;3. Задайте температуру и шаг: начните с 5 %, затем уменьшайте до 2–2,5 %. «Единицы состава на треугольнике» и «Желаемый шаг сетки, % (2–20)» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №16 (:12445–12446); app/ThermoGar_app.py:9912, :9914, :9927";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12476–12478;7. Цветовая шкала показывает мольную долю фазы, а пунктир — заданную границу её появления.;7. Цветовая шкала показывает мольную долю фазы, а пунктир — заданную границу её появления. «Шкала цвета» и «Провести границу появления фазы при доле, мол.% (0–100)» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №17 (:12450); app/ThermoGar_app.py:9912, :9946, :9959";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12487–12488;"- Технические сведения об ошибке спрятаны под раскрываемым блоком; основной текст говорит, что исправить.";"- Основной текст ошибки говорит, что исправить. Под ним — «Код ошибки: …» и свёрнутый блок «Технические сведения» с кнопкой «Скачать технический отчёт»; у части своих сообщений их нет.";"опись 21-Ц №18 (:12459); app/thermogar_stage14.py:455, :456, :463; :494 (details_for_own=False)";новая формулировка — на проверку мастера
app/ThermoGar_app.py:12493–12494;- **«Элемент отсутствует в базе»** — выберите другую базу либо уберите этот элемент.;- **«В выбранной базе нет одного из введённых элементов.»** — уберите этот элемент либо выберите другую базу материалов.;"опись 21-Ц №19 (:12464); app/thermogar_stage14.py:148–152";сообщение и совет — дословно по коду
app/ThermoGar_app.py:12496–12497;- Диаграмма не строится — сначала увеличьте шаг состава или температуры и сузьте диапазон.;- Диаграмма не строится — сначала увеличьте шаг состава или температуры и сузьте диапазон. Шаги — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №20 (:12466–12467); app/ThermoGar_app.py:8632, :9025, :9516, :9912";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12429;5. Выберите фазу или набор фаз, для которых база содержит полный набор параметров подвижности.;без изменений;"опись 21-Ц №12 (:12408); app/thermogar_diffusion.py:109";без правки: текст верен (опись 21-Ц: «текст «выберите» верен, но умолчание уже задано»)
app/ThermoGar_app.py:12460;- окно поиска T₀ должно накрывать ожидаемый переход и быть узким: …;без изменений;"опись 21-Ц №15 (:12436); app/ThermoGar_app.py:437–438, :453–454, :468–469";"без правки: по сути верно (опись 21-Ц: «можно дополнить»); окна по умолчанию — дело полного руководства"
