№;файл:строка;экран (раздел → вкладка / вид);таблица, столбцы;редактируемая;столбцы с возможной пустой ячейкой;когда пусто и чем (по коду);обработка показа сейчас;серое «None» на экране возможно;пример (кадр / тест) или «по коду»
11;app/ThermoGar_app.py:7747;Расчёты → Одна температура («Равновесие при одной температуре»), блок «Фазовые доли»;Фазовые доли: «Фаза», «Что это», «Мольная доля фазы, %»;нет;«Что это»;""""" если фазы нет в PHASE_EXPLANATIONS[база]; доля всегда число (фазы с долей ≤1e-9 отброшены); NaN/None нет";element_columns_for_display;"нет — только """"";"docs/guide/img/raschety-03.png, raschety-04.png — пустых нет; тест tools/test_ui_f.py:302–326 (данные)"
12;app/ThermoGar_app.py:7767;Расчёты → Одна температура, блок «Составы фаз» (атомные % / массовые %);Составы фаз: «Фаза», «Что это», «<Эл>, ат.%» / «<Эл>, мас.%»;нет;«Что это»;""""" если нет пояснения фазы; элементы — composition_x.get(el, 0.0), значения конечны; NaN/None нет";element_columns_for_display;"нет — только """"";docs/guide/img/raschety-03.png, raschety-04.png — пустых нет
13;app/ThermoGar_app.py:8070;Расчёты → Температурный диапазон, таблица под графиком;Скан по температуре: «Температура, °C» + столбец на каждую фазу (мольная доля, %);нет;нет;"direct_equilibrium_scan: pd.DataFrame(rows).fillna(0.0) (3654); упавшая точка — ошибка, таблицы нет";element_columns_for_display;нет;"docs/guide/img/raschety-06.png, raschety-07.png; results/wave21_m/kadry/umolch_temperaturnyi_fe_svet.png — пустых нет; тесты tools/test_ui_f.py:330–356, tools/test_parallel_integration.py:241–258 (данные)"
14;app/ThermoGar_app.py:8459;Расчёты → Изменение состава, таблица под графиком;Скан по составу: «<Эл>, <единицы>» + столбец на каждую фазу (мольная доля, %);нет;нет;та же direct_equilibrium_scan с fillna(0.0);element_columns_for_display;нет;"results/wave21_m/kadry/umolch_sostav_al_svet.png, umolch_sostav_fe_svet.png — пустых нет; тест tools/test_ui_f.py:360–389 (данные)"
15;app/ThermoGar_app.py:8875;Диаграммы → Бинарная T–X, раскрывашка «Таблица рассчитанных границ»;Границы бинарной диаграммы: «Тип», «Группа», «Фаза», «Точка», «Состав, доля», «Состав, %», «Температура, K», «Температура, °C»;нет;«Фаза»;""""" у строк «Инвариантная точка», когда номер точки больше длины invariant.phases (5704–5710); нечисловые точки пропускаются, NaN нет";element_columns_for_display;"нет — только """"";по коду
16;app/ThermoGar_app.py:9381;Диаграммы → Многокомпонентное T–X, раскрывашка «Таблица рассчитанных границ»;Границы сечения: «Тип», «Группа», «Фаза / набор фаз», «Точка», «Состав, доля», «Состав, ат.%», «Температура, K», «Температура, °C»;нет;«Фаза / набор фаз» (теоретически);""""" только при пустом наборе фаз узла (_phase_group_label 6023–6027); NaN нет";element_columns_for_display;"нет — только """" (теоретически)";по коду
17;app/ThermoGar_app.py:9779;Диаграммы → Тройная при T = const, раскрывашка «Таблица рассчитанных границ и узлов»;Границы и трёхфазные узлы: «Тип», «Группа», «Фаза / набор фаз», «Точка», «X(Эл)», «Эл, ат.%»;нет;нет;"нечисловые точки отбрасываются, остаток обрезается до ≥0; фаза str(...) не пуста; NaN/None/"""" нет";element_columns_for_display;нет;по коду
18;app/ThermoGar_app.py:10342;Диаграммы → Карта доли фазы, раскрывашка «Точка максимума и сводка»;Сводка карты: «Показатель», «Значение»;нет;нет;"значения из valid_data (конечные); пустой valid_data — UserRuntimeError";element_columns_for_display («Значение» — смесь float и int);нет;по коду
19;app/ThermoGar_app.py:10352;Диаграммы → Карта доли фазы, раскрывашка «Полная расчётная сетка»;Сетка карты: «<Эл>, доля на карте» ×3, «<Эл>, % на карте» ×3, «<Эл>, ат.%» ×3, «<фаза>, мольная доля, %», «Устойчивые фазы», «Преобладающая фаза», «Статус»;нет;"«<фаза>, мольная доля, %» (NaN), «Устойчивые фазы», «Преобладающая фаза» ("""")";"узел не рассчитан («Статус» = «не рассчитано»): доля = np.nan (серое «None»), фазы = """" (6829–6840); при пустых долях «Устойчивые фазы» = """" (6809–6818); те же строки в CSV/Excel (10358–10367)";element_columns_for_display;да — NaN;по коду
20;app/ThermoGar_app.py:11080;Затвердевание → Сводка, блок «Основные температуры»;Сводка по методам: «Метод», «Расчётный ликвидус, °C», «T при доле твёрдого X % по траектории, °C», «Температура окончания, °C», «Что означает окончание», «Интервал кристаллизации, °C», «Остаточный расплав в точке окончания, %», «Точек расчёта», «Расчёт завершён»;нет;«Расчётный ликвидус, °C», «T при доле твёрдого … °C», «Температура окончания, °C», «Интервал кристаллизации, °C», «Остаточный расплав в точке окончания, %»;"ликвидус None при сбое бисекции (в обеих строках — object с None, иначе NaN); «T при доле…» None, если порог не пересечён; окончание NaN без запасного солидуса; интервал NaN при ликвидусе None или окончании NaN; остаточный расплав NaN намеренно при солидусе из бисекции (5189–5248, 5053–5056, 4743)";element_columns_for_display;да — NaN и None;"results/wave21_l/10b/S08_al_umolch.png, S08_fe_umolch.png, S08_ni_umolch.png — видимые столбцы без пустых; docs/guide/img/zatverdevanie-04.png, zatverdevanie-05.png — пуста «Интервал кристаллизации» («None» нет, снято на 0.3.1/0.4.2); тест tools/test_equilibrium_solidus_fallback.py:209–230 (math.isnan в данных)"
21;app/ThermoGar_app.py:11100;Затвердевание → Сводка → «Как проверялась начальная температура»;Проверка стартового расплава: «Температура, °C», «Доля расплава, %», «Равновесные фазы»;нет;«Равновесные фазы» (практически нет);""""" если ни одна фаза не набрала долю > 1e-7 (4591–4609)";нет;"нет — только """"";по коду
22;app/ThermoGar_app.py:11138;Затвердевание → Твёрдые фазы, блок «Последовательность появления фаз»;«Фаза», «Что это», «Первое появление, °C», «Доля при первом появлении, %», «Максимальная доля, %», «Конечная доля, %»;нет;«Что это», теоретически «Конечная доля, %»;""""" в «Что это» без пояснения фазы; NaN в «Конечная доля» только если scheil отдал NaN (5107–5152)";element_columns_for_display;"редко — NaN только от scheil; иначе """"";по коду
23;app/ThermoGar_app.py:11144;Затвердевание → Твёрдые фазы, блок «Итоговые количества фаз»;«Фаза», «Что это», «Конечная мольная доля, %»;нет;«Что это», теоретически «Конечная мольная доля, %»;""""" в «Что это»; NaN только если scheil отдал NaN (5155–5186)";element_columns_for_display;"редко — NaN только от scheil; иначе """"";по коду
24;app/ThermoGar_app.py:11150;Затвердевание → Твёрдые фазы → «Полная траектория расчёта»;«Температура, °C», «Температура, K», «Доля расплава, %», «Доля твёрдого, %», «<ФАЗА>, %»;нет;«<ФАЗА>, %» (теоретически);"NaN только если массивы scheil содержат NaN; код приложения NaN не создаёт (4632–4651)";element_columns_for_display;редко — NaN только от scheil;по коду
25;app/ThermoGar_app.py:11201;Затвердевание → Остаточный расплав;Состав остаточного расплава: «Температура, °C», «Доля расплава, %», «<Эл>, ат.%», «<Эл>, мас.%»;нет;«<Эл>, ат.%», «<Эл>, мас.%»;"NaN во всех элементах строки, если нет пригодного состава LIQUID (расплав исчез или NaN); NaN в элементе при NaN/<0 или коротком массиве (4666–4711)";element_columns_for_display;да — NaN;по коду
26;app/ThermoGar_app.py:11483;Энергии → Энергии фаз, «Приближённые пересечения энергетических кривых»;«Фаза 1», «Фаза 2», «Температура пересечения, °C»;нет;нет;"строки только для конечных пересечений; пустая таблица не выводится (4032–4077, 11481)";element_columns_for_display;нет;по коду
27;app/ThermoGar_app.py:11491;Энергии → Энергии фаз → «Таблицы энергий», «Абсолютная энергия, Дж/моль»;«Температура, °C», столбец на каждую фазу, «Минимальная энергия среди выбранных»;нет;столбцы фаз, «Минимальная энергия среди выбранных», возможно «Температура, °C»;"NaN у фазы в точках без однофазного решения; минимум NaN, если в строке все NaN; температура NaN, если Workspace.get(v.T) вернул NaN (4112–4135, 4155–4156)";element_columns_for_display;да — NaN;по коду
28;app/ThermoGar_app.py:11497;Энергии → Энергии фаз → «Таблицы энергий», «Энергия относительно минимума, Дж/моль»;«Температура, °C» и столбцы фаз (GM − минимум строки);нет;столбцы фаз, возможно «Температура, °C»;"NaN там, где GM фазы NaN; вся строка NaN при минимуме NaN (4150–4153)";element_columns_for_display;да — NaN;по коду
29;app/ThermoGar_app.py:11732;Энергии → Движущая сила, «Приближённая смена знака»;«Температура смены знака, °C»;нет;нет;строки после dropna, только конечные (4307–4324);element_columns_for_display;нет;results/wave21_l/10b/S10_fe_umolch.png — пустых нет
30;app/ThermoGar_app.py:11737;Энергии → Движущая сила, таблица под графиком;«Температура, °C», «Движущая сила, Дж/моль», «Толкование»;нет;«Движущая сила, Дж/моль», возможно «Температура, °C»;"NaN, когда в точке нет решения («Толкование» = «нет решения»); температура из Workspace.get(v.T) может быть NaN (4280–4305)";element_columns_for_display;да — NaN;"results/wave21_l/10b/S10_fe_umolch.png; docs/guide/img/energii-04.png, energii-05.png — пустых нет"
31;app/ThermoGar_app.py:12026;Энергии → T₀, таблица под графиком;«<Эл>, ат.%/мас.%», «T₀, °C», «T₀, K», «Решение найдено» (галочка);нет;«<Эл>, ат.%/мас.%», «T₀, °C», «T₀, K»;"NaN в T₀, если корень в окне не найден («Решение найдено» = False); NaN в составе, если path_workspace при середине окна не сошёлся — BL-66, сталь по умолчанию: 12 строк «None» в составе (4504–4517; REGISTER.md:326)";element_columns_for_display;да — NaN;"results/wave21_l/10b/S11_fe_umolch_ch1.png — серое «None» в столбце состава (BL-66); S11_fe_K4_ch1.png — «None» в «T₀, °C» и «T₀, K» (C 0 и 0.1, 0.6–1 мас.%); S11_ni_dop_gp_ch1.png — «None» в «T₀, °C» и «T₀, K» во всех видимых строках; S11_ni_dop_liq_ch1.png, S11_al_umolch_ch1.png — пустых нет"
32;app/ThermoGar_app.py:12492;Проекты и данные → Паспорт базы (не fe);«Поле», «Значение»;нет;нет;"литералы и definition[""label""]";нет;нет;по коду
33;app/ThermoGar_app.py:12504;Проекты и данные → Паспорт базы → «Технические сведения» (не fe);«Поле», «Значение» («Файл», «SHA-256»);нет;нет;str(path) и SHA из констант;нет;нет;по коду
34;app/ThermoGar_app.py:12524;Проекты и данные → Паспорт базы (fe);«Поле», «Значение»;нет;нет;"все значения через str() (database_guard.py:615); при null в манифесте — текст «None» (строка, не серая) (585–595)";нет;нет (при null в манифесте — текст «None», не серый);по коду
35;app/ThermoGar_app.py:12531;Проекты и данные → Паспорт базы (fe) → «Технические сведения»;«Поле», «Значение»;нет;нет;"всё через str(); заглушки текстом (database_guard.py:417–443, 549–615)";нет;нет;по коду
36;app/ThermoGar_app.py:12756;Проекты и данные → Как пользоваться → «Готовые примеры»;«База», «Основа», «Единицы», «Добавки», «Температура»;нет;нет;литералы (12742–12756);нет;нет;по коду
37;app/ThermoGar_app.py:12847;Проекты и данные → Справочник фаз;«Код фазы», «Простыми словами», «Описание по-русски», «Примечание модели», «Оригинал из базы (англ.)»;нет;«Простыми словами», «Примечание модели», «Оригинал из базы (англ.)»;""""" без пояснения, вне пары порядок/беспорядок, без описания в TDB (5960–6019)";нет;"нет — только """"";по коду
38;app/thermogar_diffusion.py:1289;Кинетика → Диффузия и гомогенизация → «Однофазная пара» / «Многофазная гомогенизация», под графиком профиля;Профиль состава: «Расстояние, мкм», «<Эл>, нач., ат.%», «<Эл>, итог, ат.%» (или мас.%);нет;практически нет;"NaN только если kawin вернёт NaN (getCompositions, без проверки); мас.% при нулевом знаменателе — 0 (diffusion.py:470–479, 613–627)";element_columns_for_display;редко — NaN только от kawin;"docs/guide/img/kinetika-08.png; results/wave21_m/kadry/umolch_gomogenizaciya_ni_svet_ch1.png — пустых нет; тест tools/test_ui_g.py:280, 300 (данные)"
39;app/thermogar_diffusion.py:1298;Кинетика → Диффузия и гомогенизация, «Локальные равновесные доли фаз»;«Расстояние, мкм», «<Фаза>, локальная доля, %»;нет;практически нет;"NaN только из kawin computeMobility; отсутствующая фаза — 0.0 (587–610)";element_columns_for_display;редко — NaN только от kawin;results/wave21_m/kadry/umolch_gomogenizaciya_ni_svet_ch2.png — пустых нет
40;app/thermogar_diffusion.py:1301;Кинетика → Диффузия и гомогенизация → «Проверка баланса и параметры расчёта», первая таблица;Баланс: «Элемент», «Среднее начальное, ат.%», «Среднее итоговое, ат.%», «Разница, ат.%», u-доли для C/N/O/H/B;нет;u-столбцы (теоретически);NaN/inf в u-долях при нулевой сумме замещающих (646–647) или NaN от kawin (658–704);нет;редко — NaN/inf в u-долях;по коду
41;app/thermogar_diffusion.py:1302;Кинетика → Диффузия и гомогенизация → «Проверка баланса и параметры расчёта», вторая таблица;«Параметр», «Значение»;нет;нет;все значения через _as_text (301–305, 1028–1031);_settings_display;нет;по коду
42;app/thermogar_diffusion.py:1868;Кинетика → Диффузия и гомогенизация → «Покрытие базы подвижностей», «Параметры по фазам»;«Фаза», «Тип параметра», «Количество»;нет;«Фаза» (теоретически);""""" без phase_name в записи TDB (493); пустая таблица заменяется st.info";нет;"нет — только """" (теоретически)";по коду
43;app/thermogar_precipitation.py:1836;Кинетика → Выделения, вид «Итоги», первая таблица;«Показатель», «Значение», «Единица»;нет;нет;«Значение» — всегда строка («не обнаружены» для нечислового) (1033–1069);element_columns_for_display;нет;docs/guide/img/kinetika-05.png, soobshcheniya-03.png, soobshcheniya-05.png — пустых нет («—» в «Единица» — текст)
44;app/thermogar_precipitation.py:1839;Кинетика → Выделения, вид «Итоги», под графиками;Внутренние проверки: «Проверка», «Статус», «Примечание»;нет;нет;литералы и f-строки (750–812);нет;нет;docs/guide/img/kinetika-05.png, soobshcheniya-04.png — пустых нет
45;app/thermogar_precipitation.py:1843;Кинетика → Выделения, вид «Кинетика и состав»;«Время, с», «Время, ч», «Температура, °C», «Объёмная доля, %», «Средний радиус, нм», «Плотность частиц, 1/м³», «Скорость зарождения…», «Движущая сила…» ×2, «Критический радиус, нм», «Радиус зародыша, нм»;нет;любые числовые (чаще радиусы и движущая сила);"NaN, если kawin записал NaN в data.* (копия без проверки); после ZeroDivisionError последняя строка — незаписанный шаг kawin (1323, 1343–1363)";element_columns_for_display;редко — NaN от kawin;по коду
46;app/thermogar_precipitation.py:1845;Кинетика → Выделения, «Кинетика и состав» → «Составы матрицы и межфазного равновесия», первая таблица;Состав матрицы: «Время, ч», «<Эл>, матрица, ат.%», «<Основа>, матрица, ат.%»;нет;столбцы элементов (возможно);NaN только из kawin data.composition (1364–1369);element_columns_for_display;редко — NaN от kawin;по коду
47;app/thermogar_precipitation.py:1846;Кинетика → Выделения, «Кинетика и состав» → тот же раздел, вторая таблица;Межфазное равновесие: «Время, ч», «<Эл>, матрица на границе, ат.%», «<Эл>, выделение на границе, ат.%»;нет;все столбцы составов (возможно);NaN, если kawin не заполнил xEqAlpha/xEqBeta (шаги без устойчивого выделения) (1370–1376);element_columns_for_display;редко — NaN от kawin;по коду
48;app/thermogar_precipitation.py:1849;Кинетика → Выделения, вид «Распределение размеров»;«Радиус класса, нм», «Число частиц в классе, 1/м³»;нет;практически нет;NaN только из kawin PSD (1377–1381);нет;редко — NaN от kawin;по коду
49;app/thermogar_properties.py:1664;не показывается: render_elastic_section (1524) нигде не вызывается, живой аналог ThermoGar_app.py:2322;«Фаза», «Объёмная доля, %», «E, ГПа», «ν», «Происхождение», «Источник», «Температура источника, °C», «Примечание», «Статус плотности»;да (мёртвый код);«E, ГПа», «ν», «Температура источника, °C»;"E, ν None без записи в библиотеке (1168–1197); на экран не выходит";NumberColumn с format, SelectboxColumn;не показывается (функция не вызывается);по коду
50;app/thermogar_properties.py:1806;не показывается (render_elastic_section не вызывается), живой аналог ThermoGar_app.py:2407;Границы VRH;нет;нет;числа проверены конечными (574–765);нет;не показывается (функция не вызывается);по коду
51;app/thermogar_properties.py:1807;не показывается (render_elastic_section не вызывается);Фазы результата VRH;нет;«Примечание», «Статус плотности»;""""" по умолчанию; на экран не выходит (1389–1407)";нет;не показывается (функция не вызывается);по коду
52;app/thermogar_properties.py:2230;"не показывается: render_strengthening_section (1844) не вызывается; живой аналог ThermoGar_app.py:2599";Вклады механизмов;нет;нет;литералы, числа конечны (942–1155);нет;не показывается (функция не вызывается);по коду
53;app/thermogar_stage14.py:931;Панель проверки результата → «Что именно проверено»: Расчёты (Одна температура, Температурный диапазон, Изменение состава), Затвердевание → Сводка;«Проверка», «Значение», «Критерий», «Статус», «Пояснение»;нет;нет;"все строки из _check_row с 5 ключами; «макс. ошибка nan %» — текст (503–533)";нет;нет;по коду
54;app/thermogar_stage14.py:1269;Проекты и данные → Проверка установки, «Файлы баз» и «Результат загрузки баз»;«База», «Существует», «Размер, байт», «Элементов», «Фаз», «Статус»;нет;«Размер, байт», «Элементов», «Фаз»;np.nan без файла базы или при ошибке чтения (991–1052, 1024–1027);убраны технические столбцы;да — NaN;по коду
55;app/thermogar_stage14.py:1273;Проверка установки → «Технические сведения»;«База», «Ключ», «Файл», «SHA-256»;нет;«SHA-256»;""""" без файла базы (1006, 1026)";нет;"нет — только """"";по коду
56;app/thermogar_stage14.py:1296;Проверка установки, «Программы и версии»;«Компонент», «Значение»;нет;нет;пакет без версии — «не установлен» (944–962, 76–80);нет;нет;results/wave21_m/kadry/pervyi_27_svet.png — пустых нет
57;app/thermogar_stage14.py:1404;Проверка установки, после «Проверить базы и запустить три контрольных расчёта»;Контрольные расчёты: «Проверка», «База», «Фазы», «Сумма долей», «Ожидались», «Статус», «Пояснение»;нет;«Фазы», «Сумма долей»;"при исключении «Фазы» = """", «Сумма долей» = np.nan (1134–1142, 1181–1183)";нет;да — NaN;по коду
58;app/thermogar_workspace.py:1121;Проекты и данные → Марки и составы, блок «Текущий состав»;Текущий состав: «База», «Основа», «Единицы», «Добавки»;нет;«Добавки»;""""" при пустом поле «Добавки» (сплав из одной основы) (1110–1118, 516)";composition_columns_for_display;"нет — только """"";"docs/guide/img/proekty-01.png; results/wave21_m/kadry/pervyi_21_svet.png — пустых нет"
59;app/thermogar_workspace.py:1186;Проекты и данные → Марки и составы, «Доступные записи»;Библиотека марок: «Название», «База», «Основа», «Единицы», «Добавки», «Заметка», «Источник»;нет;"«Заметка», «Добавки»; в нештатных случаях «Название», «База», «Основа»";""""" в «Заметка» без заметки; """" в «Добавки» при пустом составе; None только при null в файле библиотеки (правка вручную, импорт) (1068–1093, 885–888)";composition_columns_for_display, units_label;"редко — None только при null в файле библиотеки; иначе """"";"docs/guide/img/proekty-02.png, proekty-03.png — пуста «Заметка» ("""")"
60;app/thermogar_workspace.py:1843;Проекты и данные → Проекты и история, «Проекты»;Проекты: «Проект», «Описание», «База», «Состав», «Изменён», «Файл»;нет;«Описание», «Состав»;""""" без описания и при пустых добавках; схема проверена, None/NaN нет (1818–1837)";composition_columns_for_display;"нет — только """"";"docs/guide/img/proekty-08.png — пусто «Описание» ("""")"
61;app/thermogar_workspace.py:2068;Проекты и данные → Проекты и история, «История расчётов»;Журнал: «Время», «Событие», «Тип», «База», «Основа», «Единицы», «Состав», «Подробности»;нет;"«Состав»; в нештатных случаях «Время», «Событие», «Тип»";""""" без добавок; None только при null в старом или ручном журнале (1555–1598)";history_display_dataframe, composition_columns_for_display;"редко — None только при null в журнале; иначе """"";по коду
62;app/thermogar_workspace.py:2774;Проекты и данные → Пакетный расчёт, «Предварительный просмотр»;Первые 25 строк файла: «Название», «База», «Основа», «Единицы», «Температура, °C», «Давление, Па», «Режим стали», «Список фаз», «Добавки», столбцы элементов;нет;«Список фаз», «Добавки», столбцы элементов;""""" при пустой ячейке файла (verified_state.py:405–422); None/NaN нет";batch_preview_dataframe;"нет — только """"";"docs/guide/img/proekty-05.png — пуст phases (""""); тест tools/test_ui_h.py:536–554 (AppTest читает показанную таблицу)"
63;app/thermogar_workspace.py:2849;Проекты и данные → Пакетный расчёт, сводка после «Рассчитать все составы»;Сводка пакета: «№», «Название», «Статус», «Ошибка», «База», «Основа», «Единицы», «Температура, °C», «Давление, Па», «Состав», «Фазовое поле», «Фазовые доли», «Сумма фазовых долей, %»;нет;"«Ошибка»; у строк с ошибкой — все столбцы после «Ошибка»";""""" в «Ошибка» у успешных строк; NaN во всех столбцах после «Ошибка» у строк с ошибкой, если в пакете есть успешная строка (словари с разными ключами, 2482–2487, 2603–2617, 2654)";batch_summary_display (NaN остаётся);да — NaN;"docs/guide/img/proekty-06.png — пуста «Ошибка» (""""), все строки успешны; тесты tools/test_ui_h.py:595–606 и следующий (данные)"
64;app/thermogar_workspace.py:2854;Проекты и данные → Пакетный расчёт → «Строки с ошибками»;те же столбцы, только строки с ошибкой;нет;все столбцы после «Ошибка»;NaN во всех столбцах после «Ошибка», если в пакете есть успешная строка (2855);batch_summary_display;да — NaN;по коду
