№;файл:строка;цитата (до 200 знаков);что устарело;решение
17;docs/guide/06-kinetika.md:84–87;"> Расчёт остановлен на 2.011 с модельного времени (0.0005586 ч): доля NB в матрице стала 0 ат. %, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе…";"Пример — прежний текст. Заменить текстом 3В дословно с экрана (формулировка причины — по решению владельца к 22-Б, п. 8 а).";"3В (21-О)"
18;docs/guide/06-kinetika.md:96–97;"На снимках — тот же сплав 718 при 700 °C, но с межфазной энергией 95 мДж/м² (пример выше — 78) и на сетке раздела по умолчанию (0,2…10 нм, 80 классов): остановка на 3,888 с.";"718 по-прежнему останавливается (22-Б п. 5), но момент сдвигается (в ячейке теста 3,872 с → 3,885 с). Число 3,888 с сверить на пересъёмке soobshcheniya-03.";"BL-43 (22-Б)"
19;docs/guide/06-kinetika.md:99;"![Текст остановки «Расчёт остановлен на 3.888 с модельного времени» над вкладками](img/soobshcheniya-03.png)";"«над вкладками» — над переключателем видов (21-И). Время и текст — по новому кадру (3В, 22-Б).";"21-И; 3В (21-О); BL-43"
20;docs/guide/06-kinetika.md:101;"![Строка «Состав матрицы допустим» со статусом «ошибка» в таблице проверок на вкладке «Итоги»](img/soobshcheniya-04.png)";"«на вкладке «Итоги»» — на виде «Итоги» переключателя.";"21-И"
21;docs/guide/06-kinetika.md:103;"![Предупреждение «Радиус зародыша 1.02 нм … больше начального максимального радиуса сетки 0.5 нм» над вкладками](img/soobshcheniya-05.png)";"«над вкладками» — над переключателем видов.";"21-И"
22;docs/guide/06-kinetika.md:111–113;"**«Диффузия и гомогенизация» → «Однофазная пара»**. Слева `CR=7.7, AL=5.4`, справа `CR=35.9, AL=6.2` (ат.%, основа NI) — модель пары «сплав — покрытие». Границы закрыты…";"«Однофазная пара» — вариант переключателя (app/thermogar_diffusion.py:1537), выбран по умолчанию. Стрелка «→» читается как переход по вкладкам — уточнить.";"21-И"
23;docs/guide/06-kinetika.md:119–121;"**1200 °C, 100 ч**, зона 2000 мкм, 80 ячеек — значения по умолчанию. Сетку лучше не сгущать без нужды: на той же выдержке и 200 мкм численная невязка баланса выходит за допустимую…";"«Длина области, мкм» и «Ячеек (12–160)» — в свёрнутом блоке «Параметры модели» (app/thermogar_diffusion.py:1442–1468), «Время, ч» — отдельной строкой на виду. Сказать, где искать длину и ячейки.";"2, 3 (21-М)"
24;docs/FEATURES.md:118–120;"По ходу счёта проверяется состав матрицы (BL-35). Если добавка вычерпана из матрицы, расчёт останавливается и показывает посчитанную часть; над вкладками выводится объяснение, а строка…";"«над вкладками» — над переключателем видов (21-И). «Если добавка вычерпана» — после 22-Б условие по составу до зажима, остановка бывает перелётом (BL-43).";"21-И; 3В (21-О); BL-43 (22-Б)"
25;docs/FEATURES.md:122–125;"> Расчёт остановлен на 2.011 с модельного времени (0.0005586 ч): доля NB в матрице стала 0 ат. %, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе…";"Пример — прежний текст остановки. Заменить текстом 3В.";"3В (21-О)"
26;docs/FEATURES.md:151–153;"Прочие известные ограничения: диаграммы на алюминиевой базе считаются долго (много активных фаз); для θ-фазы Al₂Cu нет модели плотности; T₀ ищется только в узком окне температур, которое нужно задать…";"T₀: у стали окно по умолчанию 200–950 °C (21-О), столбец состава — из заданной сетки, счётчик и график сходятся (BL-66). «KWN на стальной базе считается медленно»: после 22-Б сталь не останавливается и считается быстрее, умолчание выдержки стали 0.01 ч (≈ 5 мин на ноутбуке по оценке 22-Б).";"1Б, BL-66, 2В (21-О); BL-43 (22-Б)"
27;docs/FEATURES.md:174;"KWN на Ni — минута на час модельного времени.";"После 22-Б ni быстрее (100 ч: 154 с вместо 255 с в облаке). Сверить прогоном на ноутбуке; в той же таблице нет строки для стали по умолчанию.";"BL-43 (22-Б)"
28;docs/LIMITS_OF_APPLICABILITY.md:170–174;"С выпуска 0.4.2 такой расчёт останавливается с объяснением (`BL-35`): когда добавка вычерпана из матрицы, программа показывает посчитанную часть и текст остановки со ссылкой на этот раздел вместо…";"718 по-прежнему останавливается (22-Б п. 5) — по сути верно. Сверить с текстом 3В: есть ли в нём ссылка на этот раздел; «добавка вычерпана» — теперь «ушла ниже нуля».";"3В (21-О)"
29;docs/LIMITS_OF_APPLICABILITY.md:176–181;"Остановка может сработать и у добавки с очень малой равновесной растворимостью в матрице — например, у углерода в феррите, где она порядка 10⁻⁵. Там ноль в матрице может оказаться не разрывом баланса…";"22-Б: BCC_A2 с M23C6 при 700 °C больше не останавливается (ячейка приложения 3,6 с — 10 зёрен из 10, умолчание 0,05 ч — до 180 с). Признак различает перелёт и разрыв (stop_diagnostics[kind], не на экране). «Пересчитайте с другой сеткой» устарело. Абзац переписать или убрать после приёмки 22-Б.";"BL-43 (22-Б)"
